study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	median	mean	mean_pm	min	max	sd	se	unit	comments
Hsiao2015	NA	all	27.0	HCTZ25	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	1.5	NA	NA	1.0	3.0	NA	NA	hr	NA
Hsiao2015	NA	all	27.0	HCTZ25	muliple_dosing_cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	NA	202.0	NA	NA	NA	57.5	NA	ng/ml	is this cmax or mul(t)iple_dosing_cmax?
Hsiao2015	NA	all	27.0	HCTZ25	auc measurement	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	NA	1380.0	NA	NA	NA	347.0	NA	ng*h/ml	NA
Hsiao2015	NA	all	27.0	HCTZ25, LCZ696	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	2.02	NA	NA	1.0	4.02	NA	NA	hr	NA
Hsiao2015	NA	all	27.0	HCTZ25, LCZ696	muliple_dosing_cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	NA	149.0	NA	NA	NA	39.3	NA	ng/ml	is this cmax or mul(t)iple_dosing_cmax?
Hsiao2015	NA	all	27.0	HCTZ25, LCZ696	auc measurement	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	NA	1180.0	NA	NA	NA	333.0	NA	ng*h/ml	NA
