study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Hsiao2015	HCTZ25	0	96	hr	oral	multiple dose	dosing	tablet	hydrochlorothiazide	25	mg	NA
Hsiao2015	LCZ696	0	96	hr	oral	multiple dose	dosing	tablet	hydrochlorothiazide	400	mg	NA
