study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Hunninghake1986	all	10.0	NA	species	10.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Hunninghake1986	all	10.0	NA	healthy	10.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Hunninghake1986	all	10.0	NA	sex	10.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Hunninghake1986	all	10.0	NA	age	10.0	NA	NA	NA	NA	NA	NA	19.0	31.0	yr	NA
Hunninghake1986	preliminary	4.0	all	age	4.0	NA	NA	NA	NA	NA	NA	19.0	31.0	yr	NA
Hunninghake1986	definitive	6.0	all	age	6.0	NA	NA	NA	NA	NA	NA	19.0	31.0	yr	NA
