study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Hunninghake1986	preliminary	4.0	HCTZ75	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75	0.0	hr	NA	0.0	NA	NA	NA	mg	NA
Hunninghake1986	preliminary	4.0	HCTZ75	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75	2.0	hr	NA	4.40389294403893	5.86374695863747	2.91970802919708	1.45985401459854	mg	reported SD, probably SE
Hunninghake1986	preliminary	4.0	HCTZ75	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75	4.0	hr	NA	14.2335766423357	15.7420924574209	3.0170316301704	1.5085158150852	mg	reported SD, probably SE
Hunninghake1986	preliminary	4.0	HCTZ75	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75	6.0	hr	NA	22.3600973236009	24.257907542579	3.7956204379562	1.8978102189781	mg	reported SD, probably SE
Hunninghake1986	preliminary	4.0	HCTZ75	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75	8.0	hr	NA	29.3187347931873	32.287104622871	5.9367396593674	2.9683698296837	mg	reported SD, probably SE
Hunninghake1986	preliminary	4.0	HCTZ75	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75	12.0	hr	NA	33.30900243309	36.6666666666666	6.7153284671532	3.3576642335766	mg	reported SD, probably SE
Hunninghake1986	preliminary	4.0	HCTZ75	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75	24.0	hr	NA	36.2773722627737	40.1703163017031	7.7858880778588	3.8929440389294	mg	reported SD, probably SE
Hunninghake1986	preliminary	4.0	CHOL_single_-2	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_-2	0.0	hr	NA	0.0	0.0	NA	NA	mg	NA
Hunninghake1986	preliminary	4.0	CHOL_single_-2	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_-2	2.0	hr	NA	2.79805352798053	3.38199513381994	1.16788321167882	0.58394160583941	mg	reported SD, probably SE
Hunninghake1986	preliminary	4.0	CHOL_single_-2	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_-2	4.0	hr	NA	11.2165450121654	12.7250608272506	3.0170316301704	1.5085158150852	mg	reported SD, probably SE
Hunninghake1986	preliminary	4.0	CHOL_single_-2	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_-2	6.0	hr	NA	16.1313868613138	17.4939172749391	2.7250608272506	1.3625304136253	mg	reported SD, probably SE
Hunninghake1986	preliminary	4.0	CHOL_single_-2	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_-2	8.0	hr	NA	18.1265206812652	19.7323600973236	3.2116788321168	1.6058394160584	mg	reported SD, probably SE
Hunninghake1986	preliminary	4.0	CHOL_single_-2	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_-2	12.0	hr	NA	20.5596107055961	22.5060827250608	3.8929440389294	1.9464720194647	mg	reported SD, probably SE
Hunninghake1986	preliminary	4.0	CHOL_single_-2	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_-2	24.0	hr	NA	23.0413625304136	25.1824817518248	4.2822384428224	2.1411192214112	mg	reported SD, probably SE
Hunninghake1986	preliminary	4.0	CHOL_single_2	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_2	0.0	hr	NA	0.0	NA	NA	NA	mg	NA
Hunninghake1986	preliminary	4.0	CHOL_single_2	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_2	2.0	hr	NA	1.43552311435522	1.92214111922141	0.97323600973238	0.48661800486619	mg	reported SD, probably SE
Hunninghake1986	preliminary	4.0	CHOL_single_2	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_2	4.0	hr	NA	5.52311435523114	6.64233576642335	2.23844282238442	1.11922141119221	mg	reported SD, probably SE
Hunninghake1986	preliminary	4.0	CHOL_single_2	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_2	6.0	hr	NA	9.17274939172749	10.8272506082725	3.30900243309002	1.65450121654501	mg	reported SD, probably SE
Hunninghake1986	preliminary	4.0	CHOL_single_2	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_2	8.0	hr	NA	11.1192214111922	13.0170316301703	3.7956204379562	1.8978102189781	mg	reported SD, probably SE
Hunninghake1986	preliminary	4.0	CHOL_single_2	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_2	12.0	hr	NA	12.3844282238442	14.6228710462287	4.476885644769	2.2384428223845	mg	reported SD, probably SE
Hunninghake1986	preliminary	4.0	CHOL_single_2	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_2	24.0	hr	NA	12.919708029197	14.963503649635	4.087591240876	2.043795620438	mg	reported SD, probably SE
