study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Hunninghake1986	definitive	6.0	HCTZ75	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_def	0.0	hr	NA	0.0	NA	NA	NA	mg	NA
Hunninghake1986	definitive	6.0	HCTZ75	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_def	2.0	hr	NA	3.66666666666667	2.61111111111112	2.58557250627112	1.05555555555555	mg	reported SD, probably SE
Hunninghake1986	definitive	6.0	HCTZ75	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_def	4.0	hr	NA	12.1666666666666	11.0555555555555	2.72165526975906	1.1111111111111	mg	reported SD, probably SE
Hunninghake1986	definitive	6.0	HCTZ75	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_def	6.0	hr	NA	19.4444444444444	18.3888888888888	2.58557250627124	1.0555555555556	mg	reported SD, probably SE
Hunninghake1986	definitive	6.0	HCTZ75	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_def	8.0	hr	NA	23.0555555555555	22.1111111111111	2.31340697929512	0.9444444444444	mg	reported SD, probably SE
Hunninghake1986	definitive	6.0	HCTZ75	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_def	12.0	hr	NA	26.0	24.7777777777777	2.99382079673518	1.2222222222223	mg	reported SD, probably SE
Hunninghake1986	definitive	6.0	HCTZ75	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_def	24.0	hr	NA	29.6666666666666	28.1111111111111	3.81031737766259	1.5555555555555	mg	reported SD, probably SE
Hunninghake1986	definitive	6.0	CHOL_multi	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_multi	0.0	hr	NA	0.0	NA	NA	NA	mg	NA
Hunninghake1986	definitive	6.0	CHOL_multi	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_multi	2.0	hr	NA	4.72222222222222	NA	NA	NA	mg	NA
Hunninghake1986	definitive	6.0	CHOL_multi	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_multi	4.0	hr	NA	17.6111111111111	16.0555555555555	3.81031737766283	1.5555555555556	mg	reported SD, probably SE
Hunninghake1986	definitive	6.0	CHOL_multi	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_multi	6.0	hr	NA	26.2222222222222	24.9444444444444	3.129903560223	1.2777777777778	mg	reported SD, probably SE
Hunninghake1986	definitive	6.0	CHOL_multi	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_multi	8.0	hr	NA	30.7222222222222	29.5	2.99382079673494	1.2222222222222	mg	reported SD, probably SE
Hunninghake1986	definitive	6.0	CHOL_multi	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_multi	12.0	hr	NA	34.8888888888888	33.6111111111111	3.12990356022276	1.2777777777777	mg	reported SD, probably SE
Hunninghake1986	definitive	6.0	CHOL_multi	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_multi	24.0	hr	NA	41.6111111111111	42.7222222222222	2.72165526975906	1.1111111111111	mg	reported SD, probably SE
Hunninghake1986	definitive	6.0	CHOL_single_4	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_4	0.0	hr	NA	0.0	NA	NA	NA	mg	NA
Hunninghake1986	definitive	6.0	CHOL_single_4	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_4	2.0	hr	NA	5.77777777777777	7.05555555555556	3.12990356022298	1.27777777777779	mg	reported SD, probably SE
Hunninghake1986	definitive	6.0	CHOL_single_4	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_4	4.0	hr	NA	17.6111111111111	19.1666666666666	3.81031737766259	1.5555555555555	mg	reported SD, probably SE
Hunninghake1986	definitive	6.0	CHOL_single_4	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_4	6.0	hr	NA	27.6111111111111	28.9444444444444	3.26598632371082	1.3333333333333	mg	reported SD, probably SE
Hunninghake1986	definitive	6.0	CHOL_single_4	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_4	8.0	hr	NA	31.7222222222222	33.0555555555555	3.26598632371082	1.3333333333333	mg	reported SD, probably SE
Hunninghake1986	definitive	6.0	CHOL_single_4	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_4	12.0	hr	NA	35.7777777777777	37.3888888888888	3.94640014115065	1.6111111111111	mg	reported SD, probably SE
Hunninghake1986	definitive	6.0	CHOL_single_4	cumulative amount	hydrochlorothiazide	urine	Spectrophotometry	amount_cumulative_hctz75_chol_single_4	24.0	hr	NA	40.7222222222222	38.9444444444444	4.35464843161459	1.7777777777778	mg	reported SD, probably SE
NA	NA	NA	LABELS INCORRECT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
