study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	sd	se	unit	comments
Anderson1961	NA	control	4.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_control	4.0	hr	21.0	15.2534149181967	NA	percent	1,3,4,5
Anderson1961	NA	control	4.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_control	8.0	hr	39.5	14.0593978059754	NA	percent	1,3,4,5
Anderson1961	NA	control	4.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_control	24.0	hr	63.25	2.21735578260835	NA	percent	1,3,4,5
Anderson1961	NA	control	1.0	HCTZiv	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZiv_control	4.0	hr	75.0	NA	NA	percent	2
Anderson1961	NA	control	1.0	HCTZiv	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZiv_control	8.0	hr	84.0	NA	NA	percent	2
Anderson1961	NA	control	1.0	HCTZiv	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZiv_control	24.0	hr	100.0	NA	NA	percent	2
Anderson1961	NA	cardiac impairment	3.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_cardiac	4.0	hr	8.83333333333333	10.5633012516606	NA	percent	6,7.8
Anderson1961	NA	cardiac impairment	3.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_cardiac	8.0	hr	23.6666666666667	13.4288247189891	NA	percent	6,7.8
Anderson1961	NA	cardiac impairment	3.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_cardiac	24.0	hr	42.3333333333333	15.8219257150744	NA	percent	6,7.8
Anderson1961	NA	cardiac impairment	2.0	HCTZiv	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZiv_cardiac	4.0	hr	42.0	11.3137084989848	NA	percent	8A,8B
Anderson1961	NA	cardiac impairment	2.0	HCTZiv	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZiv_cardiac	8.0	hr	60.5	21.920310216783	NA	percent	8A,8B
Anderson1961	NA	cardiac impairment	2.0	HCTZiv	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZiv_cardiac	24.0	hr	82.5	24.7487373415292	NA	percent	8A,8B
Anderson1961	NA	renal impairment	1.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_renal	4.0	hr	1.0	NA	NA	percent	9
Anderson1961	NA	renal impairment	1.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_renal	8.0	hr	4.0	NA	NA	percent	9
Anderson1961	NA	renal impairment	1.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_renal	24.0	hr	9.0	NA	NA	percent	9
Anderson1961	NA	renal impairment	2.0	HCTZiv	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZiv_renal	4.0	hr	23.0	22.6274169979695	NA	percent	10, 11
Anderson1961	NA	renal impairment	2.0	HCTZiv	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZiv_renal	8.0	hr	41.0	42.4264068711929	NA	percent	10, 11
Anderson1961	NA	renal impairment	2.0	HCTZiv	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZiv_renal	24.0	hr	56.0	43.8406204335659	NA	percent	10, 11
Anderson1961	NA	hepatic impairment	1.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_hepatic	4.0	hr	5.0	NA	NA	percent	12
Anderson1961	NA	hepatic impairment	1.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_hepatic	8.0	hr	27.0	NA	NA	percent	12
Anderson1961	NA	hepatic impairment	1.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_hepatic	24.0	hr	44.0	NA	NA	percent	12
