study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Anderson1961	HCTZpo	0	NA	hr	oral	single dose	dosing	tablet	C14-hydrochlorothiazide	50	mg	65 or 50??
Anderson1961	HCTZiv	0	NA	hr	iv	single dose	dosing	solution	C14-hydrochlorothiazide	50	mg	50 mg hctz??
