study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	sd	se	median	min	max	unit	comments
Vaidyanathan2006	valsartan	19.0	VAL320	cmin	valsartan	plasma	HPLC MS/MS	NA	NA	0.3	0.2	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	valsartan	19.0	VAL320	oral-clearance	valsartan	plasma	HPLC MS/MS	NA	NA	7500000.0	3200000.0	NA	NA	NA	NA	ml/hr	NA
Vaidyanathan2006	valsartan	17.0	ALI300V,VAL320	cmax	valsartan	plasma	HPLC MS/MS	NA	NA	6.4	2.7	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	valsartan	17.0	ALI300V,VAL320	tmax	valsartan	plasma	HPLC MS/MS	NA	NA	NA	NA	NA	3.0	2.0	4.0	hr	NA
Vaidyanathan2006	valsartan	17.0	ALI300V,VAL320	auc measurement	valsartan	plasma	HPLC MS/MS	NA	NA	46.0	23.0	NA	NA	NA	NA	ng/ml*hr	NA
Vaidyanathan2006	valsartan	17.0	ALI300V,VAL320	cmin	valsartan	plasma	HPLC MS/MS	NA	NA	0.3	0.2	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	valsartan	17.0	ALI300V,VAL320	oral-clearance	valsartan	plasma	HPLC MS/MS	NA	NA	8400000.0	3400000.0	NA	NA	NA	NA	ml/hr	NA
Vaidyanathan2006	hctz	22.0	HCTZ25	cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	260.0	86.0	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	hctz	22.0	HCTZ25	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	NA	1.5	1.0	4.0	hr	NA
Vaidyanathan2006	hctz	22.0	HCTZ25	auc measurement	hydrochlorothiazide	plasma	HPLC	NA	NA	1411.0	316.0	NA	NA	NA	NA	ng/ml*hr	NA
Vaidyanathan2006	hctz	22.0	HCTZ25	cmin	hydrochlorothiazide	plasma	HPLC	NA	NA	15.0	6.1	NA	NA	NA	NA	ng/ml	NA
