study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	sd	se	median	min	max	unit	comments
Vaidyanathan2006	amlodipine	19.0	ALI300A	cmax	aliskiren	plasma	LC MS/MS	NA	NA	336.0	179.0	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	amlodipine	19.0	ALI300A	tmax	aliskiren	plasma	LC MS/MS	NA	NA	NA	NA	NA	1.0	0.5	4.0	hr	NA
Vaidyanathan2006	amlodipine	19.0	ALI300A	auc measurement	aliskiren	plasma	LC MS/MS	NA	NA	1809.0	827.0	NA	NA	NA	NA	ng/ml*hr	NA
Vaidyanathan2006	amlodipine	19.0	ALI300A	cmin	aliskiren	plasma	LC MS/MS	NA	NA	27.2	14.2	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	amlodipine	19.0	ALI300A	oral-clearance	aliskiren	plasma	LC MS/MS	NA	NA	210000.0	100000.0	NA	NA	NA	NA	ml/hr	NA
Vaidyanathan2006	amlodipine	18.0	ALI300A,AML10	cmax	aliskiren	plasma	LC MS/MS	NA	NA	448.0	318.0	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	amlodipine	18.0	ALI300A,AML10	tmax	aliskiren	plasma	LC MS/MS	NA	NA	NA	NA	NA	3.0	0.5	8.0	hr	NA
Vaidyanathan2006	amlodipine	18.0	ALI300A,AML10	auc measurement	aliskiren	plasma	LC MS/MS	NA	NA	2470.0	1425.0	NA	NA	NA	NA	ng/ml*hr	NA
Vaidyanathan2006	amlodipine	18.0	ALI300A,AML10	cmin	aliskiren	plasma	LC MS/MS	NA	NA	33.6	17.8	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	amlodipine	18.0	ALI300A,AML10	oral-clearance	aliskiren	plasma	LC MS/MS	NA	NA	160000.0	85000.0	NA	NA	NA	NA	ml/hr	NA
Vaidyanathan2006	valsartan	19.0	ALI300V	cmax	aliskiren	plasma	LC MS/MS	NA	NA	420.0	328.0	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	valsartan	19.0	ALI300V	tmax	aliskiren	plasma	LC MS/MS	NA	NA	NA	NA	NA	2.0	0.5	6.0	hr	NA
Vaidyanathan2006	valsartan	19.0	ALI300V	auc measurement	aliskiren	plasma	LC MS/MS	NA	NA	2107.0	867.0	NA	NA	NA	NA	ng/ml*hr	NA
Vaidyanathan2006	valsartan	19.0	ALI300V	cmin	aliskiren	plasma	LC MS/MS	NA	NA	27.0	11.0	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	valsartan	19.0	ALI300V	oral-clearance	aliskiren	plasma	LC MS/MS	NA	NA	170000.0	76000.0	NA	NA	NA	NA	ml/hr	NA
Vaidyanathan2006	valsartan	18.0	ALI300V,VAL320	cmax	aliskiren	plasma	LC MS/MS	NA	NA	249.0	96.0	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	valsartan	18.0	ALI300V,VAL320	tmax	aliskiren	plasma	LC MS/MS	NA	NA	NA	NA	NA	1.0	0.5	6.0	hr	NA
Vaidyanathan2006	valsartan	18.0	ALI300V,VAL320	auc measurement	aliskiren	plasma	LC MS/MS	NA	NA	1502.0	425.0	NA	NA	NA	NA	ng/ml*hr	NA
Vaidyanathan2006	valsartan	18.0	ALI300V,VAL320	cmin	aliskiren	plasma	LC MS/MS	NA	NA	24.0	9.0	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	valsartan	18.0	ALI300V,VAL320	oral-clearance	aliskiren	plasma	LC MS/MS	NA	NA	220000.0	73000.0	NA	NA	NA	NA	ml/hr	NA
Vaidyanathan2006	hctz	22.0	ALI300H	cmax	aliskiren	plasma	LC MS/MS	NA	NA	425.0	216.0	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	hctz	22.0	ALI300H	tmax	aliskiren	plasma	LC MS/MS	NA	NA	NA	NA	NA	2.2	0.5	6.0	hr	NA
Vaidyanathan2006	hctz	22.0	ALI300H	auc measurement	aliskiren	plasma	LC MS/MS	NA	NA	2310.0	934.0	NA	NA	NA	NA	ng/ml*hr	NA
Vaidyanathan2006	hctz	22.0	ALI300H	cmin	aliskiren	plasma	LC MS/MS	NA	NA	35.0	12.7	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	hctz	22.0	ALI300H	oral-clearance	aliskiren	plasma	LC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	ml/hr	NA
Vaidyanathan2006	hctz	22.0	ALI300H,HCTZ25	cmax	aliskiren	plasma	LC MS/MS	NA	NA	309.0	150.0	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	hctz	22.0	ALI300H,HCTZ25	tmax	aliskiren	plasma	LC MS/MS	NA	NA	NA	NA	NA	1.5	0.5	4.4	hr	NA
Vaidyanathan2006	hctz	22.0	ALI300H,HCTZ25	auc measurement	aliskiren	plasma	LC MS/MS	NA	NA	2210.0	1157.0	NA	NA	NA	NA	ng/ml*hr	NA
Vaidyanathan2006	hctz	22.0	ALI300H,HCTZ25	cmin	aliskiren	plasma	LC MS/MS	NA	NA	41.2	19.5	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	hctz	22.0	ALI300H,HCTZ25	oral-clearance	aliskiren	plasma	LC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	ml/hr	NA
Vaidyanathan2006	ramipril	17.0	ALI300R	cmax	aliskiren	plasma	LC MS/MS	NA	NA	296.0	167.0	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	ramipril	17.0	ALI300R	tmax	aliskiren	plasma	LC MS/MS	NA	NA	NA	NA	NA	0.5	0.5	6.0	hr	NA
Vaidyanathan2006	ramipril	17.0	ALI300R	auc measurement	aliskiren	plasma	LC MS/MS	NA	NA	1522.0	613.0	NA	NA	NA	NA	ng/ml*hr	NA
Vaidyanathan2006	ramipril	17.0	ALI300R	cmin	aliskiren	plasma	LC MS/MS	NA	NA	20.1	7.6	NA	NA	NA	NA	ng/ml	NA
