study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Vaidyanathan2006	ALI300A	S-14T1R14	NA	day	oral	multiple dose	dosing	tablet	aliskiren	300.0	mg	aliskiren alone for amlodipine
Vaidyanathan2006	ALI300AML	S0T1R14	NA	day	oral	multiple dose	dosing	tablet	aliskiren	300.0	mg	aliskiren with amlodipine
Vaidyanathan2006	AML10	S0T1R14	NA	day	oral	multiple dose	dosing	tablet	amlodipine	10.0	mg	NA
Vaidyanathan2006	ALI300V	S-7T1R7	NA	day	oral	multiple dose	dosing	tablet	aliskiren	300.0	mg	aliskiren alone for valsartan
Vaidyanathan2006	ALI300VAL	S0T1R4	NA	day	oral	multiple dose	dosing	tablet	aliskiren	300.0	mg	aliskiren with valsartan
Vaidyanathan2006	VAL320	S0T1R4	NA	day	oral	multiple dose	dosing	tablet	valsartan	320.0	mg	NA
Vaidyanathan2006	ALI300H	S-7T1R7	NA	day	oral	multiple dose	dosing	tablet	aliskiren	300.0	mg	aliskiren alone for hctz
Vaidyanathan2006	ALI300HCTZ	S0T1R4	NA	day	oral	multiple dose	dosing	tablet	aliskiren	300.0	mg	aliskiren with hctz
Vaidyanathan2006	HCTZ25	S0T1R4	NA	day	oral	multiple dose	dosing	tablet	hydrochlorothiazide	25.0	mg	NA
Vaidyanathan2006	ALI300R	S-7T1R7	NA	day	oral	multiple dose	dosing	tablet	aliskiren	300.0	mg	aliskiren alone for ramipril
Vaidyanathan2006	ALI300RAM	S0T1R6	NA	day	oral	multiple dose	dosing	tablet	aliskiren	300.0	mg	aliskiren with ramipril
Vaidyanathan2006	RAM2.5	0	NA	day	oral	multiple dose	dosing	tablet	ramipril	2.5	mg	NA
Vaidyanathan2006	RAM5	1	NA	day	oral	multiple dose	dosing	tablet	ramipril	5.0	mg	NA
Vaidyanathan2006	RAM10	S2T1R4	NA	day	oral	multiple dose	dosing	tablet	ramipril	10.0	mg	NA
