study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Jordo1979	HCTZ12.5	0	NA	hr	oral	single dose	dosing	tablet	hydrochlorothiazide	12.5	mg	NA
Jordo1979	HCTZ25	0	NA	hr	oral	single dose	dosing	tablet	hydrochlorothiazide	25.0	mg	NA
