study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_sd	mean_se	comments	mean_unit
Anderson1961		renal impairment	1.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_renal	4.0	hr	1.0			9	percent
Anderson1961		renal impairment	1.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_renal	8.0	hr	4.0			9	percent
Anderson1961		renal impairment	1.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_renal	24.0	hr	9.0			9	percent
