study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_sd	mean_se	comments	mean_unit
Anderson1961		hepatic impairment	1.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_hepatic	4.0	hr	8.397715821296607e-06			12	mole
Anderson1961		hepatic impairment	1.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_hepatic	8.0	hr	4.534766543500168e-05			12	mole
Anderson1961		hepatic impairment	1.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_hepatic	24.0	hr	7.389989922741015e-05			12	mole
