study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_sd	mean_se	comments	mean_unit
Anderson1961		cardiac impairment	3.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_cardiac	4.0	hr	8.83333333333333	10.5633012516606		6,7.8	percent
Anderson1961		cardiac impairment	3.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_cardiac	8.0	hr	23.6666666666667	13.4288247189891		6,7.8	percent
Anderson1961		cardiac impairment	3.0	HCTZpo	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZpo_cardiac	24.0	hr	42.3333333333333	15.8219257150744		6,7.8	percent
