study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_sd	mean_se	comments	mean_unit
Anderson1961		hepatic impairment	5.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_hepatic	4.0	hr	3.375881760161237e-05	2.2300639944171653e-05		12,13A,13B,14,15	mole
Anderson1961		hepatic impairment	5.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_hepatic	8.0	hr	4.870675176352032e-05	2.558203932100739e-05		12,13A,13B,14,15	mole
Anderson1961		hepatic impairment	5.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_hepatic	24.0	hr	9.4054417198522e-05	1.6668989957406117e-05		12,13A,13B,14,15	mole
