study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_sd	mean_se	comments	mean_unit
Anderson1961		control	4.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_control	4.0	hr	3.5270406449445755e-05	2.5618768757468424e-05		1,3,4,5	mole
Anderson1961		control	4.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_control	8.0	hr	6.634195498824321e-05	2.361336547862849e-05		1,3,4,5	mole
Anderson1961		control	4.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_control	24.0	hr	0.0001062311051394021	3.7241447474107494e-06		1,3,4,5	mole
