study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_sd	mean_se	comments	mean_unit
Anderson1961		renal impairment	2.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_renal	4.0	hr	3.8629492777964395e-05	3.800372354378502e-05		10, 11	mole
Anderson1961		renal impairment	2.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_renal	8.0	hr	6.886126973463218e-05	7.125698164459692e-05		10, 11	mole
Anderson1961		renal impairment	2.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_renal	24.0	hr	9.4054417198522e-05	7.363221436608332e-05		10, 11	mole
