study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_sd	mean_se	comments	mean_unit
Anderson1961		cardiac impairment	2.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_cardiac	4.0	hr	7.054081289889151e-05	1.900186177189251e-05		8A,8B	mole
Anderson1961		cardiac impairment	2.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_cardiac	8.0	hr	0.00010161236143768896	3.681610718304166e-05		8A,8B	mole
Anderson1961		cardiac impairment	2.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_cardiac	24.0	hr	0.000138562311051394	4.156657262601478e-05		8A,8B	mole
