study	name	group_count	parent	measurement_type	count	tissue	substance	choice	mean	median	sd	se	min	max	unit	comments
Giudicelli1987	all	25.0	NA	species	25.0	NA	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	all	25.0	NA	healthy	25.0	NA	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	all	25.0	NA	sex	10.0	NA	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	all	25.0	NA	sex	15.0	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	all	25.0	NA	age	25.0	NA	NA	NA	51.8	NA	11.0	2.2	22.0	62.0	yr	NA
Giudicelli1987	all	25.0	NA	overnight fast	25.0	NA	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	all	25.0	NA	disease	25.0	NA	NA	hypertension	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	all	7.0	all	disease	7.0	NA	NA	arterial hypertension	NA	NA	NA	NA	NA	NA	NA	essential hypertension
Giudicelli1987	captopril_mono	7.0	all	species	7.0	NA	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	captopril_mono	7.0	all	healthy	7.0	NA	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	captopril_mono	4.0	all	sex	4.0	NA	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	captopril_mono	3.0	all	sex	3.0	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	captopril_mono	7.0	all	age	7.0	NA	NA	NA	48.4	NA	13.757906817535872	5.2	NA	NA	yr	NA
Giudicelli1987	captopril_mono	7.0	all	weight	7.0	NA	NA	NA	69.7	NA	8.730979326513149	3.3	NA	NA	kg	at baseline
Giudicelli1987	captopril_mono	7.0	all	height	7.0	NA	NA	NA	166.4	NA	8.995554457619608	3.4	NA	NA	cm	at baseline
Giudicelli1987	captopril_mono	7.0	all	blood pressure systolic	7.0	NA	NA	NA	165.9	NA	16.139082997494004	6.1	NA	NA	mmHg	at baseline
Giudicelli1987	captopril_mono	7.0	all	blood pressure diastolic	7.0	NA	NA	NA	102.6	NA	6.085228015448558	2.3	NA	NA	mmHg	at baseline
Giudicelli1987	captopril_mono	7.0	all	heart rate	7.0	NA	NA	NA	71.9	NA	7.6726788020873125	2.9	NA	NA	1/min	at baseline
Giudicelli1987	captopril_mono	7.0	all	concentration	7.0	plasma	sodium	NA	141.4	NA	1.0583005244258363	0.4	NA	NA	mmol/l	in plasma at baseline
Giudicelli1987	captopril_mono	7.0	all	concentration	7.0	plasma	creatinine	NA	82.1	NA	16.403658128600462	6.2	NA	NA	μmol/l	in plasma at baseline
Giudicelli1987	captopril_HCTZ_comb	8.0	all	species	8.0	NA	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	captopril_HCTZ_comb	8.0	all	healthy	8.0	NA	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	captopril_HCTZ_comb	3.0	all	sex	3.0	NA	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	captopril_HCTZ_comb	5.0	all	sex	5.0	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	captopril_HCTZ_comb	8.0	all	age	8.0	NA	NA	NA	54.9	NA	6.788225099390856	2.4	NA	NA	yr	NA
Giudicelli1987	captopril_HCTZ_comb	8.0	all	weight	8.0	NA	NA	NA	67.1	NA	14.142135623730951	5.0	NA	NA	kg	at baseline
Giudicelli1987	captopril_HCTZ_comb	8.0	all	height	8.0	NA	NA	NA	164.0	NA	10.465180361560904	3.7	NA	NA	cm	at baseline
Giudicelli1987	captopril_HCTZ_comb	8.0	all	blood pressure systolic	8.0	NA	NA	NA	160.1	NA	11.030865786510143	3.9	NA	NA	mmHg	at baseline
Giudicelli1987	captopril_HCTZ_comb	8.0	all	blood pressure diastolic	8.0	NA	NA	NA	101.9	NA	4.242640687119286	1.5	NA	NA	mmHg	at baseline
Giudicelli1987	captopril_HCTZ_comb	8.0	all	heart rate	8.0	NA	NA	NA	69.1	NA	9.05096679918781	3.2	NA	NA	1/min	at baseline
Giudicelli1987	captopril_HCTZ_comb	8.0	all	concentration	8.0	NA	sodium	NA	140.5	NA	1.9798989873223332	0.7	NA	NA	mmol/l	in plasma at baseline
Giudicelli1987	captopril_HCTZ_comb	8.0	all	concentration	8.0	NA	creatinine	NA	71.6	NA	7.919595949289333	2.8	NA	NA	μmol/l	in plasma at baseline
Giudicelli1987	HCTZ_mono	10.0	all	species	10.0	NA	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	HCTZ_mono	10.0	all	healthy	10.0	NA	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	HCTZ_mono	3.0	all	sex	3.0	NA	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	HCTZ_mono	7.0	all	sex	7.0	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Giudicelli1987	HCTZ_mono	10.0	all	age	10.0	NA	NA	NA	51.7	NA	11.384199576606166	3.6	NA	NA	yr	NA
Giudicelli1987	HCTZ_mono	10.0	all	weight	10.0	NA	NA	NA	67.9	NA	10.435516278555651	3.3	NA	NA	kg	at baseline
Giudicelli1987	HCTZ_mono	10.0	all	height	10.0	NA	NA	NA	163.4	NA	5.059644256269408	1.6	NA	NA	cm	at baseline
Giudicelli1987	HCTZ_mono	10.0	all	blood pressure systolic	10.0	NA	NA	NA	163.5	NA	13.281566172707194	4.2	NA	NA	mmHg	at baseline
Giudicelli1987	HCTZ_mono	10.0	all	blood pressure diastolic	10.0	NA	NA	NA	101.6	NA	7.905694150420949	2.5	NA	NA	mmHg	at baseline
