study	individual	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	value	mean	sd	se	unit	comments
Giudicelli1987	NA	captopril_mono	7.0	CAP50	cmax	captopril	plasma	HPLC	NA	NA	NA	606.0	404.7999505928824	153.0	ng/ml	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50	tmax	captopril	plasma	HPLC	NA	NA	NA	0.86	0.4762352359916263	0.18	hr	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50	thalf	captopril	plasma	HPLC	NA	NA	NA	0.81	0.23811761799581316	0.09	hr	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50	auc_inf	captopril	plasma	HPLC	NA	NA	NA	1223.0	481.5267386137555	182.0	ng/ml*hr	not sure what auc
Giudicelli1987	NA	captopril_mono	7.0	CAP50	oral clearance	captopril	plasma	HPLC	NA	NA	NA	771.0	275.1581363507174	104.0	ml/min	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50	vd	captopril	plasma	HPLC	NA	NA	NA	0.92	0.3439476704383968	0.13	l/kg	Vd/F
Giudicelli1987	NA	captopril_mono	7.0	CAP50_MULTI	cmax	captopril	plasma	HPLC	NA	NA	NA	404.0	148.1620734196171	56.0	ng/ml	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50_MULTI	tmax	captopril	plasma	HPLC	NA	NA	NA	1.07	0.3439476704383968	0.13	hr	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50_MULTI	thalf	captopril	plasma	HPLC	NA	NA	NA	0.96	0.07937253933193772	0.03	hr	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50_MULTI	auc_inf	captopril	plasma	HPLC	NA	NA	NA	813.0	232.826115373684	88.0	ng/ml*hr	not sure what auc
Giudicelli1987	NA	captopril_mono	7.0	CAP50_MULTI	oral clearance	captopril	plasma	HPLC	NA	NA	NA	1092.0	275.1581363507174	104.0	ml/min	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50_MULTI	vd	captopril	plasma	HPLC	NA	NA	NA	1.28	0.2645751311064591	0.1	l/kg	Vd/F
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	cmax	captopril	plasma	HPLC	NA	NA	NA	385.0	209.30360723121808	74.0	ng/ml	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	tmax	captopril	plasma	HPLC	NA	NA	NA	1.13	0.5091168824543142	0.18	hr	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	thalf	captopril	plasma	HPLC	NA	NA	NA	0.83	0.22627416997969524	0.08	hr	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	auc_inf	captopril	plasma	HPLC	NA	NA	NA	870.0	367.6955262170047	130.0	ng/ml*hr	not sure what auc
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	oral clearance	captopril	plasma	HPLC	NA	NA	NA	1142.0	554.3717164502533	196.0	ml/min	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	vd	captopril	plasma	HPLC	NA	NA	NA	1.16	0.5656854249492381	0.2	l/kg	Vd/F
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	cmax	captopril	plasma	HPLC	NA	NA	NA	499.0	271.5290039756343	96.0	ng/ml	NA
