study	individual	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Giudicelli1987	NA	captopril_mono	7.0	CAP50	ACE activity	angiotensin converting enzyme	plasma	Spectrophotometry	NA	NA	NA	18.7	NA	6.085228015448558	2.3	nmol/min/ml	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50_MULTI	ACE activity	angiotensin converting enzyme	plasma	Spectrophotometry	NA	NA	NA	30.3	NA	14.02248194864233	5.3	nmol/min/ml	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50	renin activity	renin	plasma	RIA	NA	NA	NA	6.3	NA	1.8520259177452134	0.7	ng/l/min	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50_MULTI	renin activity	renin	plasma	RIA	NA	NA	NA	30.6	NA	28.309539028391118	10.7	ng/l/min	NA
Giudicelli1987	NA	HCTZ_mono	10.0	HCTZ25	ACE activity	angiotensin converting enzyme	plasma	Spectrophotometry	NA	NA	NA	20.0	NA	5.692099788303083	1.8	nmol/min/ml	NA
Giudicelli1987	NA	HCTZ_mono	10.0	HCTZ25_MULTI	ACE activity	angiotensin converting enzyme	plasma	Spectrophotometry	NA	NA	NA	22.8	NA	11.384199576606166	3.6	nmol/min/ml	NA
Giudicelli1987	NA	HCTZ_mono	10.0	HCTZ25	renin activity	renin	plasma	RIA	NA	NA	NA	13.7	NA	9.170605214488301	2.9	ng/l/min	NA
Giudicelli1987	NA	HCTZ_mono	10.0	HCTZ25_MULTI	renin activity	renin	plasma	RIA	NA	NA	NA	42.0	NA	50.280214796677235	15.9	ng/l/min	NA
Giudicelli1987	NA	HCTZ_mono	10.0	CAP50, HCTZ25	ACE activity	angiotensin converting enzyme	plasma	Spectrophotometry	NA	NA	NA	23.3	NA	8.221921916437788	2.6	nmol/min/ml	NA
Giudicelli1987	NA	HCTZ_mono	10.0	CAP50_MULTI, HCTZ25_MULTI	ACE activity	angiotensin converting enzyme	plasma	Spectrophotometry	NA	NA	NA	30.0	NA	16.76007159889241	5.3	nmol/min/ml	NA
Giudicelli1987	NA	HCTZ_mono	10.0	CAP50, HCTZ25	renin activity	renin	plasma	RIA	NA	NA	NA	9.1	NA	7.273238618387272	2.3	ng/l/min	NA
Giudicelli1987	NA	HCTZ_mono	10.0	CAP50_MULTI, HCTZ25_MULTI	renin activity	renin	plasma	RIA	NA	NA	NA	33.5	NA	23.40085468524601	7.4	ng/l/min	NA
