study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Azumaya1990	HCTZ12.5	0	48	hr	oral	single dose	dosing	tablet	hydrochlorothiazide	12.5	mg	NA
Azumaya1990	HCTZ25	0	48	hr	oral	single dose	dosing	tablet	hydrochlorothiazide	25.0	mg	NA
