study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Dussol2005	HCTZ25	0	720	hr	oral	multiple dose	dosing	tablet	hydrochlorothiazide	25	mg	NA
Dussol2005	FU60	0	720	hr	oral	multiple dose	dosing	tablet	furosemide	60	mg	NA
