study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Dussol2005	all	7.0	NA	species	7.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Dussol2005	all	7.0	NA	sex	7.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Dussol2005	all	7.0	NA	age	7.0	NA	NA	NA	NA	NA	NA	40.0	71.0	yr	NA
Dussol2005	all	7.0	NA	healthy	7.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Dussol2005	all	7.0	NA	disease	7.0	NA	hypertension	NA	NA	NA	NA	NA	NA	NA	NA
Dussol2005	all	7.0	NA	disease	7.0	NA	renal disease (severe)	NA	NA	NA	NA	NA	NA	NA	NA
