study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	median	mean	mean_pm	min	max	mean_sd	mean_se	comments	mean_unit	value_unit	median_unit
Ripley2000		white	9.0	HCTZ25	cumulative amount	hydrochlorothiazide	urine	HPLC	hctz_aurine_white	0.0	hr			0.0				0.0		calculated from % recovery for 25 mg dose	mole	mg	mg
Ripley2000		white	9.0	HCTZ25	cumulative amount	hydrochlorothiazide	urine	HPLC	hctz_aurine_white	36.0	hr			4.618743701713134e-05				7.557944239166947e-06		calculated from % recovery for 25 mg dose	mole	mg	mg
