study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	median	mean	mean_pm	min	max	mean_sd	mean_se	comments	mean_unit	value_unit	median_unit
Ripley2000		black	9.0	HCTZ25	cumulative amount	hydrochlorothiazide	urine	HPLC	hctz_aurine_black	0.0	hr			0.0				0.0		calculated from % recovery for 25 mg dose	mole	mg	mg
Ripley2000		black	9.0	HCTZ25	cumulative amount	hydrochlorothiazide	urine	HPLC	hctz_aurine_black	36.0	hr			4.1148807524353375e-05				1.3436345314074572e-05		calculated from % recovery for 25 mg dose	mole	mg	mg
