study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Nilsen1989	all	25.0	NA	species	25.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Nilsen1989	all	25.0	NA	healthy	25.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Nilsen1989	all	25.0	NA	sex	25.0	NA	MF	NA	NA	NA	NA	NA	NA	NA	NA
Nilsen1989	volunteers	9.0	all	sex	9.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Nilsen1989	volunteers	9.0	all	age	9.0	NA	NA	NA	NA	NA	NA	24.0	35.0	yr	NA
Nilsen1989	volunteers	9.0	all	healthy	9.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Nilsen1989	patients	16.0	all	sex	16.0	NA	MF	NA	NA	NA	NA	NA	NA	NA	NA
Nilsen1989	patients	16.0	all	age	16.0	NA	NA	NA	NA	NA	NA	40.0	62.0	yr	NA
Nilsen1989	patients	16.0	all	healthy	16.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Nilsen1989	patients	16.0	all	disease	16.0	NA	hypertension	NA	NA	NA	NA	NA	NA	NA	NA
