study	name	time	time_end	time_unit	route	application	measurement_type	form	substance	value	unit	comments
Nilsen1989	CIL2,5	0	NA	hr	oral	single dose	dosing	tablet	cilazapril	2.5	mg	form not explicitly reported
Nilsen1989	CIL5	0	NA	hr	oral	single dose	dosing	tablet	cilazapril	5.0	mg	form not explicitly reported
Nilsen1989	HCTZ25	0	NA	hr	oral	single dose	dosing	tablet	hydrochlorothiazide	25.0	mg	form not explicitly reported
