study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x_value	x	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y_value	y	y_unit	comments
Nilsen1989	NA	volunteers	9.0	HCTZ25	0.48347748693489	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion2_hctz25	NA	0.795110601703465	mg/hr	excretion rate	sodium	urine	NR	excretion_sodium2_hctz25	NA	16.4473964159969	mmol/hr	HCTZ determined by modified HPLC method with hydrofluoromethiozide
Nilsen1989	NA	volunteers	9.0	HCTZ25	1.47327643259773	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion2_hctz25	NA	3.14578972292952	mg/hr	excretion rate	sodium	urine	NR	excretion_sodium2_hctz25	NA	30.8203331434493	mmol/hr	HCTZ determined by modified HPLC method with hydrofluoromethiozide
Nilsen1989	NA	volunteers	9.0	HCTZ25	3.0010269517789	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion2_hctz25	NA	2.69469400080986	mg/hr	excretion rate	sodium	urine	NR	excretion_sodium2_hctz25	NA	26.3166509955182	mmol/hr	HCTZ determined by modified HPLC method with hydrofluoromethiozide
Nilsen1989	NA	volunteers	9.0	HCTZ25	5.99574385540518	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion2_hctz25	NA	1.04672518753903	mg/hr	excretion rate	sodium	urine	NR	excretion_sodium2_hctz25	NA	23.4532919706526	mmol/hr	HCTZ determined by modified HPLC method with hydrofluoromethiozide
Nilsen1989	NA	volunteers	9.0	HCTZ25	16.0051575800451	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion2_hctz25	NA	0.247366217579596	mg/hr	excretion rate	sodium	urine	NR	excretion_sodium2_hctz25	NA	10.9361852535637	mmol/hr	HCTZ determined by modified HPLC method with hydrofluoromethiozide
Nilsen1989	NA	volunteers	9.0	HCTZ25,CIL5	0.48347748693489	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion2_hctz25_cil5	NA	0.798329478459606	mg/hr	excretion rate	sodium	urine	NR	excretion_sodium2_hctz25_cil5	NA	20.4889055132701	mmol/hr	HCTZ determined by modified HPLC method with hydrofluoromethiozide
Nilsen1989	NA	volunteers	9.0	HCTZ25,CIL5	1.47327643259773	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion2_hctz25_cil5	NA	3.14744377260591	mg/hr	excretion rate	sodium	urine	NR	excretion_sodium2_hctz25_cil5	NA	39.3789764109181	mmol/hr	HCTZ determined by modified HPLC method with hydrofluoromethiozide
Nilsen1989	NA	volunteers	9.0	HCTZ25,CIL5	3.0010269517789	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion2_hctz25_cil5	NA	2.59540984056608	mg/hr	excretion rate	sodium	urine	NR	excretion_sodium2_hctz25_cil5	NA	32.9169268992402	mmol/hr	HCTZ determined by modified HPLC method with hydrofluoromethiozide
Nilsen1989	NA	volunteers	9.0	HCTZ25,CIL5	5.99574385540518	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion2_hctz25_cil5	NA	0.999855871190023	mg/hr	excretion rate	sodium	urine	NR	excretion_sodium2_hctz25_cil5	NA	25.4160518314653	mmol/hr	HCTZ determined by modified HPLC method with hydrofluoromethiozide
Nilsen1989	NA	volunteers	9.0	HCTZ25,CIL5	16.0051575800451	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion2_hctz25_cil5	NA	0.200641030040562	mg/hr	excretion rate	sodium	urine	NR	excretion_sodium2_hctz25_cil5	NA	12.4828932829111	mmol/hr	HCTZ determined by modified HPLC method with hydrofluoromethiozide
