study	individual	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Nilsen1989	NA	volunteers	9.0	CIL5	cmax	cilazaprilat	plasma	radioenzymatic assay	NA	NA	NA	83.8	NA	NA	7.4	ng/ml	NA
Nilsen1989	NA	volunteers	9.0	CIL5	thalf	cilazaprilat	plasma	radioenzymatic assay	NA	NA	NA	1.4	NA	NA	0.08	hr	2-8h
Nilsen1989	NA	volunteers	9.0	CIL5	thalf	cilazaprilat	plasma	radioenzymatic assay	NA	NA	NA	41.9	NA	NA	3.5	hr	24-94h
Nilsen1989	NA	volunteers	9.0	CIL5	auc_end	cilazaprilat	plasma	radioenzymatic assay	24.0	hr	NA	396.0	NA	NA	20.0	µg/l*hr	NA
Nilsen1989	NA	volunteers	9.0	CIL5	clearance_renal	cilazaprilat	plasma	radioenzymatic assay	NA	NA	NA	6.4	NA	NA	0.5	l/hr	NA
Nilsen1989	NA	volunteers	9.0	CIL5	amount	cilazaprilat	urine	radioenzymatic assay	24.0	hr	NA	1.975	NA	NA	0.145	mg	calculated
Nilsen1989	NA	volunteers	9.0	CIL5, HCTZ25	cmax	cilazaprilat	plasma	radioenzymatic assay	NA	NA	NA	81.5	NA	NA	5.6	ng/ml	NA
Nilsen1989	NA	volunteers	9.0	CIL5, HCTZ25	thalf	cilazaprilat	plasma	radioenzymatic assay	NA	NA	NA	1.6	NA	NA	0.05	hr	2-8h
Nilsen1989	NA	volunteers	9.0	CIL5, HCTZ25	thalf	cilazaprilat	plasma	radioenzymatic assay	NA	NA	NA	45.8	NA	NA	3.6	hr	24-94h
Nilsen1989	NA	volunteers	9.0	CIL5, HCTZ25	auc_end	cilazaprilat	plasma	radioenzymatic assay	24.0	hr	NA	415.0	NA	NA	21.0	µg/l*hr	NA
Nilsen1989	NA	volunteers	9.0	CIL5, HCTZ25	clearance_renal	cilazaprilat	plasma	radioenzymatic assay	NA	NA	NA	5.5	NA	NA	0.6	l/hr	NA
Nilsen1989	NA	volunteers	9.0	CIL5, HCTZ25	amount	cilazaprilat	urine	radioenzymatic assay	24.0	hr	NA	1.76	NA	NA	0.16	mg	calculated
Nilsen1989	NA	patients	9.0	CIL5	cmax	cilazaprilat	plasma	radioenzymatic assay	NA	NA	NA	48.4	NA	NA	7.5	ng/ml	NA
Nilsen1989	NA	patients	9.0	CIL5	thalf	cilazaprilat	plasma	radioenzymatic assay	NA	NA	NA	2.1	NA	NA	0.07	hr	2-8h
Nilsen1989	NA	patients	9.0	CIL5	auc_end	cilazaprilat	plasma	radioenzymatic assay	24.0	hr	NA	181.0	NA	NA	10.0	µg/l*hr	NA
Nilsen1989	NA	patients	9.0	CIL5, HCTZ25	cmax	cilazaprilat	plasma	radioenzymatic assay	NA	NA	NA	47.6	NA	NA	4.5	ng/ml	NA
Nilsen1989	NA	patients	9.0	CIL5, HCTZ25	thalf	cilazaprilat	plasma	radioenzymatic assay	NA	NA	NA	2.1	NA	NA	0.07	hr	2-8h
Nilsen1989	NA	patients	9.0	CIL5, HCTZ25	auc_end	cilazaprilat	plasma	radioenzymatic assay	24.0	hr	NA	196.0	NA	NA	7.4	µg/l*hr	NA
