study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Januszewicz1959	all	10.0	NA	species	10.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Januszewicz1959	all	10.0	NA	healthy	10.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Januszewicz1959	all	10.0	NA	sex	10.0	NA	MF	NA	NA	NA	NA	NA	NA	NA	NA
Januszewicz1959	all	10.0	NA	age	10.0	NA	NA	NA	NA	NA	NA	21.0	54.0	yr	NA
Januszewicz1959	HCTZ25	5.0	all	species	5.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Januszewicz1959	HCTZ25	5.0	all	healthy	5.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Januszewicz1959	HCTZ25	5.0	all	sex	5.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Januszewicz1959	HCTZ25	5.0	all	age	5.0	NA	NA	NA	NA	NA	NA	33.0	50.0	yr	NA
Januszewicz1959	HCTZ50	2.0	all	species	2.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Januszewicz1959	HCTZ50	2.0	all	healthy	2.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Januszewicz1959	HCTZ50	2.0	all	sex	2.0	NA	MF	NA	NA	NA	NA	NA	NA	NA	NA
Januszewicz1959	HCTZ50	2.0	all	age	2.0	NA	NA	NA	NA	NA	NA	31.0	45.0	yr	NA
Januszewicz1959	HCTZ100	3.0	all	species	3.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Januszewicz1959	HCTZ100	3.0	all	healthy	3.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Januszewicz1959	HCTZ100	3.0	all	sex	3.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Januszewicz1959	HCTZ100	3.0	all	age	3.0	NA	NA	NA	NA	NA	NA	21.0	54.0	yr	NA
