study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	meanraw	comments
Januszewicz1959	NA	all	5.0	HCTZ25	urinary volume rate	sodium	urine	NR	diuresis_25	0.0	hr	NA	1.59473684210526	NA	NA	NA	ml/min	10.1	correcting values to be relative to baseline (Beermann1977b, assuming 2 ml/min)
Januszewicz1959	NA	all	5.0	HCTZ25	urinary volume rate	sodium	urine	NR	diuresis_25	10.0	hr	NA	2.5578947368421	NA	NA	NA	ml/min	16.2	correcting values to be relative to baseline (Beermann1977b, assuming 2 ml/min)
Januszewicz1959	NA	all	2.0	HCTZ50	urinary volume rate	sodium	urine	NR	diuresis_50	0.0	hr	NA	2.14736842105263	NA	NA	NA	ml/min	13.6	correcting values to be relative to baseline (Beermann1977b, assuming 2 ml/min)
Januszewicz1959	NA	all	2.0	HCTZ50	urinary volume rate	sodium	urine	NR	diuresis_50	10.0	hr	NA	3.41052631578947	NA	NA	NA	ml/min	21.6	correcting values to be relative to baseline (Beermann1977b, assuming 2 ml/min)
Januszewicz1959	NA	all	3.0	HCTZ100	urinary volume rate	sodium	urine	NR	diuresis_100	0.0	hr	NA	2.25789473684211	NA	NA	NA	ml/min	14.3	correcting values to be relative to baseline (Beermann1977b, assuming 2 ml/min)
Januszewicz1959	NA	all	3.0	HCTZ100	urinary volume rate	sodium	urine	NR	diuresis_100	10.0	hr	NA	3.20526315789474	NA	NA	NA	ml/min	20.3	correcting values to be relative to baseline (Beermann1977b, assuming 2 ml/min)
Januszewicz1959	NA	all	5.0	HCTZ25	excretion rate	sodium	urine	NR	excretion_na_25	0.0	hr	NA	0.0645481049562682	NA	NA	NA	mmol/min	120.0	correcting values to be relative to baseline (Beermann1977b)
Januszewicz1959	NA	all	5.0	HCTZ25	excretion rate	sodium	urine	NR	excretion_na_25	10.0	hr	NA	0.441616618075802	NA	NA	NA	mmol/min	821.0	correcting values to be relative to baseline (Beermann1977b)
Januszewicz1959	NA	all	2.0	HCTZ50	excretion rate	sodium	urine	NR	excretion_na_50	0.0	hr	NA	0.0489489795918367	NA	NA	NA	mmol/min	91.0	correcting values to be relative to baseline (Beermann1977b)
Januszewicz1959	NA	all	2.0	HCTZ50	excretion rate	sodium	urine	NR	excretion_na_50	10.0	hr	NA	0.497020408163265	NA	NA	NA	mmol/min	924.0	correcting values to be relative to baseline (Beermann1977b)
Januszewicz1959	NA	all	3.0	HCTZ100	excretion rate	sodium	urine	NR	excretion_na_100	0.0	hr	NA	0.071002915451895	NA	NA	NA	mmol/min	132.0	correcting values to be relative to baseline (Beermann1977b)
Januszewicz1959	NA	all	3.0	HCTZ100	excretion rate	sodium	urine	NR	excretion_na_100	10.0	hr	NA	0.485186588921283	NA	NA	NA	mmol/min	902.0	correcting values to be relative to baseline (Beermann1977b)
Januszewicz1959	NA	all	5.0	HCTZ25	excretion rate	chloride	urine	NR	excretion_cl_25	0.0	hr	NA	0.363344051446945	NA	NA	NA	mmol/min	113.0	correcting values to be relative to baseline (Williams1982, assuming 20 mmol/hr)
Januszewicz1959	NA	all	5.0	HCTZ25	excretion rate	chloride	urine	NR	excretion_cl_25	10.0	hr	NA	2.41157556270096	NA	NA	NA	mmol/min	750.0	correcting values to be relative to baseline (Williams1982, assuming 20 mmol/hr)
Januszewicz1959	NA	all	2.0	HCTZ50	excretion rate	chloride	urine	NR	excretion_cl_50	0.0	hr	NA	0.276527331189711	NA	NA	NA	mmol/min	86.0	correcting values to be relative to baseline (Williams1982, assuming 20 mmol/hr)
Januszewicz1959	NA	all	2.0	HCTZ50	excretion rate	chloride	urine	NR	excretion_cl_50	10.0	hr	NA	2.97106109324759	NA	NA	NA	mmol/min	924.0	correcting values to be relative to baseline (Williams1982, assuming 20 mmol/hr)
Januszewicz1959	NA	all	3.0	HCTZ100	excretion rate	chloride	urine	NR	excretion_cl_100	0.0	hr	NA	0.360128617363344	NA	NA	NA	mmol/min	112.0	correcting values to be relative to baseline (Williams1982, assuming 20 mmol/hr)
Januszewicz1959	NA	all	3.0	HCTZ100	excretion rate	chloride	urine	NR	excretion_cl_100	10.0	hr	NA	2.47588424437299	NA	NA	NA	mmol/min	770.0	correcting values to be relative to baseline (Williams1982, assuming 20 mmol/hr)
Januszewicz1959	NA	all	5.0	HCTZ25	excretion rate	potassium	urine	NR	excretion_k_25	0.0	hr	NA	0.0583854166666667	NA	NA	NA	mmol/min	38.0	correcting values to be relative to baseline (Beermann1977b)
Januszewicz1959	NA	all	5.0	HCTZ25	excretion rate	potassium	urine	NR	excretion_k_25	10.0	hr	NA	0.0983333333333333	NA	NA	NA	mmol/min	64.0	correcting values to be relative to baseline (Beermann1977b)
Januszewicz1959	NA	all	2.0	HCTZ50	excretion rate	potassium	urine	NR	excretion_k_50	0.0	hr	NA	0.04609375	NA	NA	NA	mmol/min	30.0	correcting values to be relative to baseline (Beermann1977b)
Januszewicz1959	NA	all	2.0	HCTZ50	excretion rate	potassium	urine	NR	excretion_k_50	10.0	hr	NA	0.087578125	NA	NA	NA	mmol/min	57.0	correcting values to be relative to baseline (Beermann1977b)
Januszewicz1959	NA	all	3.0	HCTZ100	excretion rate	potassium	urine	NR	excretion_k_100	0.0	hr	NA	0.0430208333333333	NA	NA	NA	mmol/min	28.0	correcting values to be relative to baseline (Beermann1977b)
Januszewicz1959	NA	all	3.0	HCTZ100	excretion rate	potassium	urine	NR	excretion_k_100	10.0	hr	NA	0.125989583333333	NA	NA	NA	mmol/min	82.0	correcting values to be relative to baseline (Beermann1977b)
