study	individual	group	count	intervention	label	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x_value	x	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y_value	y	sd	y_unit	comments
Januszewicz1959	NA	HCTZ25	5.0	HCTZ25	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	25.0	mg	urinary volume rate	NA	urine	NR	NA	NA	16.2	NA	ml/min	NA
Januszewicz1959	NA	HCTZ50	2.0	HCTZ50	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	50.0	mg	urinary volume rate	NA	urine	NR	NA	NA	21.6	NA	ml/min	NA
Januszewicz1959	NA	HCTZ100	3.0	HCTZ100	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	100.0	mg	urinary volume rate	NA	urine	NR	NA	NA	20.3	NA	ml/min	NA
Januszewicz1959	NA	HCTZ25	5.0	HCTZ25	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	25.0	mg	clearance_renal	inulin	urine	spectrophotometry	NA	NA	115.0	NA	ml/min	Schreiner's method
Januszewicz1959	NA	HCTZ50	2.0	HCTZ50	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	50.0	mg	clearance_renal	inulin	urine	spectrophotometry	NA	NA	133.0	NA	ml/min	NA
Januszewicz1959	NA	HCTZ100	3.0	HCTZ100	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	100.0	mg	clearance_renal	inulin	urine	spectrophotometry	NA	NA	129.0	NA	ml/min	NA
Januszewicz1959	NA	HCTZ25	5.0	HCTZ25	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	25.0	mg	clearance_renal	NA	urine	NR	NA	NA	7.6	NA	ml/min	"""substance"": [ ""Object with name=<solute> does not exist.""   "
Januszewicz1959	NA	HCTZ50	2.0	HCTZ50	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	50.0	mg	clearance_renal	NA	urine	NR	NA	NA	10.2	NA	ml/min	solute
Januszewicz1959	NA	HCTZ100	3.0	HCTZ100	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	100.0	mg	clearance_renal	NA	urine	NR	NA	NA	8.9	NA	ml/min	solute
Januszewicz1959	NA	HCTZ25	5.0	HCTZ25	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	25.0	mg	clearance_renal	h2o	urine	NR	NA	NA	7.6	NA	ml/min	NA
Januszewicz1959	NA	HCTZ50	2.0	HCTZ50	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	50.0	mg	clearance_renal	h2o	urine	NR	NA	NA	12.3	NA	ml/min	NA
Januszewicz1959	NA	HCTZ100	3.0	HCTZ100	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	100.0	mg	clearance_renal	h2o	urine	NR	NA	NA	12.0	NA	ml/min	NA
Januszewicz1959	NA	HCTZ25	5.0	HCTZ25	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	25.0	mg	osmolarity	NA	urine	osmometry	NA	NA	2177.0	NA	mole/l	osmolality was determined by freezing point depression using Johlin freezing apparatus and a Bowman bridge null point detector unit
Januszewicz1959	NA	HCTZ50	2.0	HCTZ50	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	50.0	mg	osmolarity	NA	urine	osmometry	NA	NA	2860.0	NA	mole/l	NA
Januszewicz1959	NA	HCTZ100	3.0	HCTZ100	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	100.0	mg	osmolarity	NA	urine	osmometry	NA	NA	2401.0	NA	mole/l	NA
Januszewicz1959	NA	HCTZ25	5.0	HCTZ25	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	25.0	mg	excretion rate	sodium	urine	NR	NA	NA	821.0	NA	mmol/min	NA
Januszewicz1959	NA	HCTZ50	2.0	HCTZ50	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	50.0	mg	excretion rate	sodium	urine	NR	NA	NA	924.0	NA	mmol/min	NA
Januszewicz1959	NA	HCTZ100	3.0	HCTZ100	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	100.0	mg	excretion rate	sodium	urine	NR	NA	NA	902.0	NA	mmol/min	NA
Januszewicz1959	NA	HCTZ25	5.0	HCTZ25	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	25.0	mg	excretion rate	chloride	urine	NR	NA	NA	750.0	NA	mmol/min	NA
Januszewicz1959	NA	HCTZ50	2.0	HCTZ50	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	50.0	mg	excretion rate	chloride	urine	NR	NA	NA	924.0	NA	mmol/min	NA
Januszewicz1959	NA	HCTZ100	3.0	HCTZ100	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	100.0	mg	excretion rate	chloride	urine	NR	NA	NA	770.0	NA	mmol/min	NA
Januszewicz1959	NA	HCTZ25	5.0	HCTZ25	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	25.0	mg	excretion rate	potassium	urine	NR	NA	NA	64.0	NA	mmol/min	NA
Januszewicz1959	NA	HCTZ50	2.0	HCTZ50	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	50.0	mg	excretion rate	potassium	urine	NR	NA	NA	57.0	NA	mmol/min	NA
Januszewicz1959	NA	HCTZ100	3.0	HCTZ100	NA	NA	NA	dosing	hydrochlorothiazide	NA	NR	NA	NA	100.0	mg	excretion rate	potassium	urine	NR	NA	NA	82.0	NA	mmol/min	NA
