run	success	duration	cost	ftissue_hctz	Kp_hctz	KI__HCTZEX_k	Ka_dis_hctz	GU__F_hctz_abs	GU__HCTZABS_k	message	x	x0
27	True	80.14177894592285	206.5379077655506	0.24614387687774153	0.9997280036700814	0.0037108904792554284	0.35181331155360623	0.6121311521798801	0.02041376871688115	`xtol` termination condition is satisfied.	[0.24614388 0.999728   0.00371089 0.35181331 0.61213115 0.02041377]	"[1.26659356e-02 6.10463511e-01 1.61239503e-02 4.49583108e-04
 7.26484605e-01 5.03996877e+00]"
35	True	132.9519386291504	206.53928476116297	0.24568077883352182	0.9999882767061471	0.0037069463235810253	0.34663472206897716	0.6123704296099244	0.020891913863704852	`xtol` termination condition is satisfied.	[0.24568078 0.99998828 0.00370695 0.34663472 0.61237043 0.02089191]	"[8.67292442e-01 3.15459356e-01 2.59384528e-03 2.08913931e-03
 6.88018164e-01 9.48249431e+00]"
29	True	113.66599440574646	206.57148408968573	0.2388022653230129	0.9995432984734898	0.0037085583681266353	1.2284063075561094	0.6122733343108273	0.005708099104876845	`xtol` termination condition is satisfied.	[0.23880227 0.9995433  0.00370856 1.22840631 0.61227333 0.0057081 ]	"[4.37505773e+00 6.34715432e-01 2.72959948e-04 6.10918175e-01
 6.43249429e-01 3.84749504e-03]"
17	True	82.45805239677429	206.60080134277638	0.2613602710287559	0.9997382814414628	0.0037415690702947754	0.37058049544750055	0.6096878714736775	0.01978328136890874	`xtol` termination condition is satisfied.	[0.26136027 0.99973828 0.00374157 0.3705805  0.60968787 0.01978328]	[4.2490249  0.9708072  0.01169524 0.04715786 0.73626658 0.04164984]
16	True	167.93757557868958	206.6325623894091	0.2381554003142383	0.9999860470233705	0.003708910145681189	0.33594594222147417	0.6123538923086895	0.021543212405964265	`xtol` termination condition is satisfied.	[0.2381554  0.99998605 0.00370891 0.33594594 0.61235389 0.02154321]	"[1.46571452e-02 4.73065927e-01 2.36604904e-08 1.05495452e-03
 6.61055943e-01 9.46187180e-04]"
19	True	123.14314556121826	206.6369059683504	0.2312296162296257	0.9999810825695531	0.003725247254836519	1.2589543605435567	0.6123691376545657	0.0055669153333753225	`xtol` termination condition is satisfied.	[0.23122962 0.99998108 0.00372525 1.25895436 0.61236914 0.00556692]	"[3.15316230e+00 3.55826242e-01 5.79398947e-02 1.34237624e+00
 7.32449425e-01 1.89952626e-03]"
5	True	128.37128233909607	206.66479126526707	0.22796945740432292	0.9996702964106637	0.003664261627384151	1.2965009219820496	0.6145354050451596	0.005444596767158274	`xtol` termination condition is satisfied.	[0.22796946 0.9996703  0.00366426 1.29650092 0.61453541 0.0054446 ]	"[1.03852391e+00 9.93311213e-01 4.76238856e-01 3.23213616e+00
 6.91914623e-01 1.23780605e-04]"
15	True	145.67856812477112	206.68965319285687	0.26198263913921116	0.9979157436271645	0.0037071257871416816	0.3648324222622181	0.6104420931909922	0.020260616194018356	`xtol` termination condition is satisfied.	[0.26198264 0.99791574 0.00370713 0.36483242 0.61044209 0.02026062]	"[6.01815885e-02 6.05920211e-01 2.53979149e-10 3.62961018e-04
 6.05424282e-01 1.01774092e-03]"
21	True	120.85479688644409	206.71140611015642	0.22829738296646776	0.9992199376415738	0.0037043739446416687	1.2801975089375386	0.6141436409477974	0.005450797198306401	`xtol` termination condition is satisfied.	[0.22829738 0.99921994 0.00370437 1.28019751 0.61414364 0.0054508 ]	"[8.61261663e-02 6.44423786e-01 1.02494242e-03 1.84653276e+00
 7.06504261e-01 8.47852671e-03]"
26	True	240.82883763313293	206.7376443586371	0.2224807807248342	0.9999975313051325	0.0036815851922434237	1.3098440593143799	0.6159839741878916	0.005302107418871694	`xtol` termination condition is satisfied.	[0.22248078 0.99999753 0.00368159 1.30984406 0.61598397 0.00530211]	"[3.91026044e+00 2.68337906e-01 1.20887574e-06 6.85299728e+00
 6.84864899e-01 1.36122939e-04]"
