study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	sd	se	unit	comments
Koytchev2004	lis	29.0	LISTEST20	cmax	lisinopril	plasma	HPLC MS/MS	NA	NA	44.56	NA	NA	26.46	NA	ng/mL	NA
Koytchev2004	lis	29.0	LISTEST20	auc_inf	lisinopril	plasma	HPLC MS/MS	NA	NA	634.44	NA	NA	355.26	NA	NA	NA
Koytchev2004	lis	29.0	LISTEST20	auc_end	lisinopril	plasma	HPLC MS/MS	72.0	hr	589.66	NA	NA	350.39	NA	ng*hr/mL	NA
Koytchev2004	lis	29.0	LISTEST20	tmax	lisinopril	plasma	HPLC MS/MS	NA	NA	6.34	NA	NA	1.9	NA	hr	NA
Koytchev2004	lis	29.0	LISTEST20	thalf	lisinopril	plasma	HPLC MS/MS	NA	NA	11.92	NA	NA	7.09	NA	hr	NA
Koytchev2004	lis	29.0	LISTEST20	mrt	lisinopril	plasma	HPLC MS/MS	NA	NA	12.35	NA	NA	2.18	NA	hr	NA
Koytchev2004	lis	29.0	LISREF20	cmax	lisinopril	plasma	HPLC MS/MS	NA	NA	42.35	NA	NA	18.53	NA	ng/mL	NA
Koytchev2004	lis	29.0	LISREF20	auc_inf	lisinopril	plasma	HPLC MS/MS	NA	NA	649.11	NA	NA	988.91	NA	NA	NA
Koytchev2004	lis	29.0	LISREF20	auc_end	lisinopril	plasma	HPLC MS/MS	72.0	hr	591.42	NA	NA	291.55	NA	ng*hr/mL	NA
Koytchev2004	lis	29.0	LISREF20	tmax	lisinopril	plasma	HPLC MS/MS	NA	NA	6.38	NA	NA	1.18	NA	hr	NA
Koytchev2004	lis	29.0	LISREF20	thalf	lisinopril	plasma	HPLC MS/MS	NA	NA	14.73	NA	NA	7.94	NA	hr	NA
Koytchev2004	lis	29.0	LISREF20	mrt	lisinopril	plasma	HPLC MS/MS	NA	NA	13.5	NA	NA	2.94	NA	hr	NA
