run	success	duration	cost	ftissue_hctz	Kp_hctz	Ka_dis_hctz	GU__HCTZABS_k	KI__HCTZEX_k	message	x	x0
83	True	35.78906607627869	100.36297783139716	0.06116103323732116	0.9945957866474092	2.0723228729764016	0.0026509452160134207	0.9462278315473628	`xtol` termination condition is satisfied.	[0.06116103 0.99459579 2.07232287 0.00265095 0.94622783]	[0.6466408  0.87054423 0.32723415 0.00377561 0.11524873]
31	True	34.841004371643066	100.3713955335256	0.06690907126364927	0.9851408103056072	0.16593638819668638	0.033049988647824415	0.9944783093964914	`xtol` termination condition is satisfied.	[0.06690907 0.98514081 0.16593639 0.03304999 0.99447831]	"[3.39024745e+00 9.76135351e-01 3.15328082e-03 8.65320527e-03
 1.05399108e-01]"
92	True	33.09717273712158	100.5322967625918	0.07131961614582696	0.9940367777851828	0.1729258370473294	0.03189963245317241	1.018914609539413	`xtol` termination condition is satisfied.	[0.07131962 0.99403678 0.17292584 0.03189963 1.01891461]	[0.29734449 0.94035106 0.00749755 0.00197021 0.26738721]
20	True	35.73549675941467	100.55394741811341	0.058890070324356746	0.9970404901815356	0.15065604746043612	0.04031074977247911	0.9311499094293151	`xtol` termination condition is satisfied.	[0.05889007 0.99704049 0.15065605 0.04031075 0.93114991]	"[1.61426854e-02 8.13011939e-01 3.55053236e-02 5.54527846e-04
 5.20824295e+00]"
44	True	37.50429606437683	100.58016660672983	0.07182863431437338	0.9889703768886235	2.0647005215506886	0.0027135664566979253	0.9704354057287118	`xtol` termination condition is satisfied.	[0.07182863 0.98897038 2.06470052 0.00271357 0.97043541]	[1.64352093 0.27308268 4.31913057 0.02761449 0.10042517]
33	True	44.31391501426697	100.62816311447871	0.05686962591273067	0.9909603716762068	2.2300845744181705	0.0025527103933770177	0.9473156531166226	`xtol` termination condition is satisfied.	[0.05686963 0.99096037 2.23008457 0.00255271 0.94731565]	"[5.95329364e+00 5.71971454e-01 1.52264511e-01 6.73745666e-04
 4.69818872e-01]"
39	True	32.9555561542511	100.8130502034208	0.07511094923699076	0.9641647540099838	0.16887928838252694	0.03382388122802349	0.9972699455246609	`xtol` termination condition is satisfied.	[0.07511095 0.96416475 0.16887929 0.03382388 0.99726995]	[0.38636433 0.88469424 1.11168828 4.36102041 0.32859905]
56	True	31.45728325843811	100.92466063721749	0.06641897646274801	0.9324592550051015	0.1571405669851499	0.035622769595361814	0.9497368256485292	`xtol` termination condition is satisfied.	[0.06641898 0.93245926 0.15714057 0.03562277 0.94973683]	[0.01620468 0.26610853 0.32143364 0.02927634 0.40310743]
16	True	69.46767282485962	100.93255338755132	0.05079373440951335	0.9796031842471112	0.15571885244908412	0.03544780831523046	0.9918850043734834	`xtol` termination condition is satisfied.	[0.05079373 0.97960318 0.15571885 0.03544781 0.991885  ]	[1.4527287  0.35034541 1.17937628 9.10084972 0.10056499]
29	True	38.74702477455139	101.00798875265919	0.07029971693476052	0.9580679973859519	0.1637641016212352	0.03215962080321919	0.9866057229512059	`xtol` termination condition is satisfied.	[0.07029972 0.958068   0.1637641  0.03215962 0.98660572]	"[1.85287886e-01 7.54865639e-01 4.75682545e-04 2.10582395e+00
 3.94162066e+00]"
