study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	median	mean_pm	cv	sd	se	min	max	unit	comments
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25	recovery	hydrochlorothiazide	urine	LC MS/MS	recovery_hctz25	24.0	hr	NA	53.2	NA	NA	19.8	10.533600000000002	NA	NA	NA	percent	NA
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25	urinary volume	hydrochlorothiazide	urine	NR	urine_vol_hctz25	24.0	hr	NA	1698.0	NA	NA	627.0	10646.46	NA	NA	NA	ml	NA
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25,FIMA240	muliple_dosing_cmax	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	NA	199.8	NA	NA	24.4	NA	NA	NA	NA	µg/l	NA
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25,FIMA240	auc measurement	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	NA	1207.6	NA	NA	24.4	NA	NA	NA	NA	µg/l*hr	NA
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25,FIMA240	clearance	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	NA	21.9	NA	NA	25.6	NA	NA	NA	NA	l/hr	NA
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25,FIMA240	tmax	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	1.0	4.0	hr	NA
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25,FIMA240	cumulative amount	hydrochlorothiazide	urine	LC MS/MS	amount_cumulative_hctz25_kombi	0.0	hr	NA	0.0	NA	NA	NA	NA	NA	NA	NA	mg	added by curator for timecourse simulation
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25,FIMA240	cumulative amount	hydrochlorothiazide	urine	LC MS/MS	amount_cumulative_hctz25_kombi	24.0	hr	NA	17.7	NA	NA	15.1	NA	NA	NA	NA	mg	NA
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25,FIMA240	recovery	hydrochlorothiazide	urine	LC MS/MS	recovery_hctz25_kombi	0.0	hr	NA	0.0	NA	NA	NA	NA	NA	NA	NA	percent	added by curator for timecourse simulation
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25,FIMA240	recovery	hydrochlorothiazide	urine	LC MS/MS	recovery_hctz25_kombi	24.0	hr	NA	70.9	NA	NA	15.1	NA	NA	NA	NA	percent	NA
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25,FIMA240	urinary volume	hydrochlorothiazide	urine	NR	urine_vol_hctz25_kombi	24.0	hr	NA	2135.0	NA	NA	831.0	NA	NA	NA	NA	ml	NA
