study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	median	mean_pm	cv	sd	se	min	max	unit	comments
Jeon2012	NA	FIMA_mono	16.0	FIMA240	muliple_dosing_cmax	fimasartan	plasma	LC MS/MS	NA	NA	NA	NA	347.2	NA	NA	45.8	NA	NA	NA	NA	µg/l	NA
Jeon2012	NA	FIMA_mono	16.0	FIMA240	auc measurement	fimasartan	plasma	LC MS/MS	NA	NA	NA	NA	1270.6	NA	NA	30.8	NA	NA	NA	NA	µg/l*hr	NA
Jeon2012	NA	FIMA_mono	16.0	FIMA240	clearance	fimasartan	plasma	LC MS/MS	NA	NA	NA	NA	208.5	NA	NA	34.0	NA	NA	NA	NA	l/hr	NA
Jeon2012	NA	FIMA_mono	16.0	FIMA240	tmax	fimasartan	plasma	LC MS/MS	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	0.5	6.0	hr	NA
Jeon2012	NA	FIMA_mono	16.0	FIMA240,HCTZ25	muliple_dosing_cmax	fimasartan	plasma	LC MS/MS	NA	NA	NA	NA	501.7	NA	NA	63.0	NA	NA	NA	NA	µg/l	NA
Jeon2012	NA	FIMA_mono	16.0	FIMA240,HCTZ25	auc measurement	fimasartan	plasma	LC MS/MS	NA	NA	NA	NA	1513.4	NA	NA	36.8	NA	NA	NA	NA	µg/l*hr	NA
Jeon2012	NA	FIMA_mono	16.0	FIMA240,HCTZ25	clearance	fimasartan	plasma	LC MS/MS	NA	NA	NA	NA	179.9	NA	NA	37.3	NA	NA	NA	NA	l/hr	NA
Jeon2012	NA	FIMA_mono	16.0	FIMA240,HCTZ25	tmax	fimasartan	plasma	LC MS/MS	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	0.5	4.0	hr	NA
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25	muliple_dosing_cmax	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	NA	215.7	NA	NA	34.0	73.338	NA	NA	NA	µg/l	NA
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25	auc measurement	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	NA	1369.0	NA	NA	23.4	320.346	NA	NA	NA	µg/l*hr	NA
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25	clearance	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	NA	19.1	NA	NA	20.9	3.9919	NA	NA	NA	l/hr	NA
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25	tmax	hydrochlorothiazide	plasma	LC MS/MS	NA	NA	NA	NA	NA	2.5	NA	NA	NA	NA	1.0	4.0	hr	NA
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25	cumulative amount	hydrochlorothiazide	urine	LC MS/MS	amount_cumulative_hctz25	0.0	hr	NA	0.0	NA	NA	NA	NA	NA	NA	NA	mg	added by curator for timecourse simulation
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25	cumulative amount	hydrochlorothiazide	urine	LC MS/MS	amount_cumulative_hctz25	24.0	hr	NA	13.3	NA	NA	19.8	2.6334000000000004	NA	NA	NA	mg	NA
Jeon2012	NA	HCTZ_mono	13.0	HCTZ25	recovery	hydrochlorothiazide	urine	LC MS/MS	recovery_hctz25	0.0	hr	NA	0.0	NA	NA	NA	NA	NA	NA	NA	percent	added by curator for timecourse simulation
