study	individual	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Patel1984	NA	all	12.0	HCTZ25_tab	cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	127.0	NA	34.0	NA	ng/ml	NA
Patel1984	NA	all	12.0	HCTZ25_tab	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	2.4	NA	0.9	NA	hr	NA
Patel1984	NA	all	12.0	HCTZ25_tab	auc_end	hydrochlorothiazide	plasma	HPLC	36.0	hr	NA	978.0	NA	237.0	NA	ng*hr/ml	NA
Patel1984	NA	all	12.0	HCTZ25_tab	clearance_renal	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	257.0	NA	83.0	NA	ml/min	NA
Patel1984	NA	all	12.0	HCTZ50_tab	cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	280.0	NA	108.0	NA	ng/ml	NA
Patel1984	NA	all	12.0	HCTZ50_tab	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	2.1	NA	1.0	NA	hr	NA
Patel1984	NA	all	12.0	HCTZ50_tab	auc_end	hydrochlorothiazide	plasma	HPLC	36.0	hr	NA	1968.0	NA	390.0	NA	ng*h/ml	NA
Patel1984	NA	all	12.0	HCTZ50_tab	clearance_renal	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	222.0	NA	36.0	NA	ml/min	NA
Patel1984	NA	all	12.0	HCTZ100_tab	cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	437.0	NA	105.0	NA	ng/ml	NA
Patel1984	NA	all	12.0	HCTZ100_tab	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	2.3	NA	1.0	NA	hr	NA
Patel1984	NA	all	12.0	HCTZ100_tab	auc_end	hydrochlorothiazide	plasma	HPLC	36.0	hr	NA	3554.0	NA	779.0	NA	ng*hr/ml	NA
Patel1984	NA	all	12.0	HCTZ100_tab	clearance_renal	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	232.0	NA	52.0	NA	ml/min	NA
Patel1984	NA	all	12.0	HCTZ25_sus	cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	134.0	NA	44.0	NA	ng/ml	NA
Patel1984	NA	all	12.0	HCTZ25_sus	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	2.4	NA	0.9	NA	hr	NA
Patel1984	NA	all	12.0	HCTZ25_sus	auc_end	hydrochlorothiazide	plasma	HPLC	36.0	hr	NA	1038.0	NA	282.0	NA	ng*hr/ml	NA
Patel1984	NA	all	12.0	HCTZ25_sus	clearance_renal	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	232.0	NA	78.0	NA	ml/min	NA
Patel1984	NA	all	12.0	HCTZ50_sus	cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	270.0	NA	76.0	NA	ng/ml	NA
Patel1984	NA	all	12.0	HCTZ50_sus	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	1.8	NA	0.7	NA	hr	NA
Patel1984	NA	all	12.0	HCTZ50_sus	auc_end	hydrochlorothiazide	plasma	HPLC	36.0	hr	NA	1910.0	NA	344.0	NA	ng*hr/ml	NA
Patel1984	NA	all	12.0	HCTZ50_sus	clearance_renal	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	233.0	NA	83.0	NA	ml/min	NA
Patel1984	NA	all	12.0	HCTZ100_sus	cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	490.0	NA	130.0	NA	ng/ml	NA
Patel1984	NA	all	12.0	HCTZ100_sus	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	1.8	NA	0.3	NA	hr	NA
Patel1984	NA	all	12.0	HCTZ100_sus	auc_end	hydrochlorothiazide	plasma	HPLC	36.0	hr	NA	3493.0	NA	735.0	NA	ng*hr/ml	NA
Patel1984	NA	all	12.0	HCTZ100_sus	clearance_renal	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	256.0	NA	89.0	NA	ml/min	NA
