study	individual	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Knauf1995	NA	volunteers	5.0	HCTZ25	maximum excretion rate	sodium	urine	flame photometry	NA	NA	NA	6.428571428571429	NA	NA	NA	mmol/hr	NA
Knauf1995	NA	volunteers	5.0	HCTZ25	maximum excretion rate	chloride	urine	coulometry	NA	NA	NA	5.0	NA	NA	NA	mmol/hr	NA
Knauf1995	NA	volunteers	5.0	HCTZ25	maximum excretion rate	potassium	urine	flame photometry	NA	NA	NA	5.0	NA	NA	NA	mmol/hr	NA
Knauf1995	NA	volunteers	5.0	HCTZ25	maximum excretion rate	calcium	urine	flame photometry	NA	NA	NA	6.0	NA	NA	NA	mmol/hr	NA
Knauf1995	NA	volunteers	5.0	HCTZ25	maximum excretion rate	magnesium	urine	flame photometry	NA	NA	NA	5.5	NA	NA	NA	mmol/hr	NA
Knauf1995	NA	volunteers	5.0	FU40	maximum excretion rate	sodium	urine	flame photometry	NA	NA	NA	7.083333333333333	NA	NA	NA	mmol/hr	NA
Knauf1995	NA	volunteers	5.0	FU40	maximum excretion rate	chloride	urine	coulometry	NA	NA	NA	6.466666666666667	NA	NA	NA	mmol/hr	NA
Knauf1995	NA	volunteers	5.0	FU40	maximum excretion rate	potassium	urine	flame photometry	NA	NA	NA	3.0	NA	NA	NA	mmol/hr	NA
Knauf1995	NA	volunteers	5.0	FU40	maximum excretion rate	calcium	urine	flame photometry	NA	NA	NA	3.4999999999999996	NA	NA	NA	mmol/hr	NA
Knauf1995	NA	volunteers	5.0	FU40	maximum excretion rate	magnesium	urine	flame photometry	NA	NA	NA	2.9999999999999996	NA	NA	NA	mmol/hr	NA
Knauf1995	NA	volunteers	5.0	HCTZ25	cumulative amount	sodium	urine	flame photometry	NA	NA	NA	81.0	NA	NA	NA	mmol	NA
Knauf1995	NA	volunteers	5.0	HCTZ25	cumulative amount	chloride	urine	coulometry	NA	NA	NA	93.0	NA	NA	NA	mmol	NA
Knauf1995	NA	volunteers	5.0	HCTZ25	cumulative amount	potassium	urine	flame photometry	NA	NA	NA	24.0	NA	NA	NA	mmol	NA
Knauf1995	NA	volunteers	5.0	HCTZ25	cumulative amount	calcium	urine	flame photometry	NA	NA	NA	0.8	NA	NA	NA	mmol	NA
Knauf1995	NA	volunteers	5.0	HCTZ25	cumulative amount	magnesium	urine	flame photometry	NA	NA	NA	4.2	NA	NA	NA	mmol	NA
Knauf1995	NA	volunteers	5.0	FU40	cumulative amount	sodium	urine	flame photometry	NA	NA	NA	110.0	NA	NA	NA	mmol	NA
Knauf1995	NA	volunteers	5.0	FU40	cumulative amount	chloride	urine	coulometry	NA	NA	NA	122.0	NA	NA	NA	mmol	NA
Knauf1995	NA	volunteers	5.0	FU40	cumulative amount	potassium	urine	flame photometry	NA	NA	NA	14.0	NA	NA	NA	mmol	NA
Knauf1995	NA	volunteers	5.0	FU40	cumulative amount	calcium	urine	flame photometry	NA	NA	NA	2.2	NA	NA	NA	mmol	NA
Knauf1995	NA	volunteers	5.0	FU40	cumulative amount	magnesium	urine	flame photometry	NA	NA	NA	2.2	NA	NA	NA	mmol	NA
