study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x_value	x	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y_value	y	y_unit	comments
Williams1982	NA	all	10.0	HCTZ50	1.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz50	NA	2.09377269426288	mg/hr	excretion rate	chloride	urine	colorimetric assay	chlor_hctz50	NA	45.9163229228049	mmol/hr	0-2
Williams1982	NA	all	10.0	HCTZ50	3.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz50	NA	4.44489832970225	mg/hr	excretion rate	chloride	urine	colorimetric assay	chlor_hctz50	NA	96.9220192496562	mmol/hr	2-4
Williams1982	NA	all	10.0	HCTZ50	5.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz50	NA	2.91984386347131	mg/hr	excretion rate	chloride	urine	colorimetric assay	chlor_hctz50	NA	74.2447456295422	mmol/hr	4-6
Williams1982	NA	all	10.0	HCTZ50	7.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz50	NA	2.10965867828612	mg/hr	excretion rate	chloride	urine	colorimetric assay	chlor_hctz50	NA	64.8379493223334	mmol/hr	6-8
Williams1982	NA	all	10.0	HCTZ50	10.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz50	NA	0.870551924473492	mg/hr	excretion rate	chloride	urine	colorimetric assay	chlor_hctz50	NA	46.2659595364368	mmol/hr	8-12
Williams1982	NA	all	10.0	HCTZ50	18.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz50	NA	0.425744371822801	mg/hr	excretion rate	chloride	urine	colorimetric assay	chlor_hctz50	NA	17.3502258888234	mmol/hr	12-24
Williams1982	NA	all	10.0	HCTZ100	1.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz100	NA	4.93736383442265	mg/hr	excretion rate	chloride	urine	colorimetric assay	chlor_hctz100	NA	74.2918876448634	mmol/hr	0-2
Williams1982	NA	all	10.0	HCTZ100	3.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz100	NA	6.76425199709513	mg/hr	excretion rate	chloride	urine	colorimetric assay	chlor_hctz100	NA	84.7947358082891	mmol/hr	2-4
Williams1982	NA	all	10.0	HCTZ100	5.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz100	NA	4.55610021786492	mg/hr	excretion rate	chloride	urine	colorimetric assay	chlor_hctz100	NA	67.6104890984089	mmol/hr	4-6
Williams1982	NA	all	10.0	HCTZ100	7.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz100	NA	2.96750181554103	mg/hr	excretion rate	chloride	urine	colorimetric assay	chlor_hctz100	NA	68.7271655863288	mmol/hr	6-8
Williams1982	NA	all	10.0	HCTZ100	10.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz100	NA	1.36301742919389	mg/hr	excretion rate	chloride	urine	colorimetric assay	chlor_hctz100	NA	42.1292476920055	mmol/hr	8-12
Williams1982	NA	all	10.0	HCTZ100	18.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz100	NA	0.711692084241102	mg/hr	excretion rate	chloride	urine	colorimetric assay	chlor_hctz100	NA	21.4692594775093	mmol/hr	12-24
