study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	change	mean	mean_pm	sd	se	unit	comments
Williams1982	all	10.0	HCTZ50	urinary volume (change)	h2o	urine	NR	urinvolD_hctz50	8.0	hr	480.0	480.0	NA	408.0	NA	ml	sd wie in der Tabelle 408
Williams1982	all	10.0	HCTZ50	urinary volume (change)	h2o	urine	NR	urinvolD_hctz50	24.0	hr	-57.0	423.0	NA	811.08877442608	NA	ml	701
Williams1982	all	10.0	HCTZ50	cumulative amount (change)	sodium	urine	flame photometry	amount_sodium_hctz50	8.0	hr	93.0	93.0	NA	30.0	NA	mmol	30
Williams1982	all	10.0	HCTZ50	cumulative amount (change)	sodium	urine	flame photometry	amount_sodium_hctz50	24.0	hr	25.0	118.0	NA	39.0512483795333	NA	mmol	25
Williams1982	all	10.0	HCTZ50	cumulative amount (change)	chloride	urine	colorimetric assay	amount_chloride_hctz50	8.0	hr	328.0	328.0	NA	168.0	NA	mmol	168
Williams1982	all	10.0	HCTZ50	cumulative amount (change)	chloride	urine	colorimetric assay	amount_chloride_hctz50	24.0	hr	89.0	417.0	NA	189.190380305131	NA	mmol	87
Williams1982	all	10.0	HCTZ50	cumulative amount (change)	potassium	urine	flame photometry	amount_potassium_hctz50	8.0	hr	11.0	11.0	NA	15.0	NA	mmol	15
Williams1982	all	10.0	HCTZ50	cumulative amount (change)	potassium	urine	flame photometry	amount_potassium_hctz50	24.0	hr	4.0	15.0	NA	18.6010752377383	NA	mmol	11
Williams1982	all	10.0	HCTZ100	urinary volume (change)	h2o	urine	NR	urinvolD_hctz100	8.0	hr	397.0	397.0	NA	398.0	NA	ml	398
Williams1982	all	10.0	HCTZ100	urinary volume (change)	h2o	urine	NR	urinvolD_hctz100	24.0	hr	-336.0	61.0	NA	746.032841100176	NA	ml	631
Williams1982	all	10.0	HCTZ100	cumulative amount (change)	sodium	urine	flame photometry	amount_sodium_hctz100	8.0	hr	104.0	104.0	NA	33.0	NA	mmol	33
Williams1982	all	10.0	HCTZ100	cumulative amount (change)	sodium	urine	flame photometry	amount_sodium_hctz100	24.0	hr	14.0	118.0	NA	57.4282160614449	NA	mmol	47
Williams1982	all	10.0	HCTZ100	cumulative amount (change)	chloride	urine	colorimetric assay	amount_chloride_hctz100	8.0	hr	399.0	399.0	NA	117.0	NA	mmol	117
Williams1982	all	10.0	HCTZ100	cumulative amount (change)	chloride	urine	colorimetric assay	amount_chloride_hctz100	24.0	hr	105.0	504.0	NA	212.174456521043	NA	mmol	177
Williams1982	all	10.0	HCTZ100	cumulative amount (change)	potassium	urine	flame photometry	amount_potassium_hctz100	8.0	hr	15.0	15.0	NA	7.0	NA	mmol	7
Williams1982	all	10.0	HCTZ100	cumulative amount (change)	potassium	urine	flame photometry	amount_potassium_hctz100	24.0	hr	5.0	20.0	NA	13.8924439894498	NA	mmol	12
Williams1982	all	10.0	HCTZ50, IND25	urinary volume (change)	h2o	urine	NR	urinvolD_hctz50_ind25	8.0	hr	722.0	722.0	NA	675.0	NA	ml	675
Williams1982	all	10.0	HCTZ50, IND25	urinary volume (change)	h2o	urine	NR	urinvolD_hctz50_ind25	24.0	hr	75.0	797.0	NA	946.847928655917	NA	ml	664
Williams1982	all	10.0	HCTZ50, IND25	cumulative amount (change)	sodium	urine	flame photometry	amount_sodium_hctz50_ind25	8.0	hr	105.0	105.0	NA	49.0	NA	mmol	49
Williams1982	all	10.0	HCTZ50, IND25	cumulative amount (change)	sodium	urine	flame photometry	amount_sodium_hctz50_ind25	24.0	hr	39.0	144.0	NA	62.00806399171	NA	mmol	38
Williams1982	all	10.0	HCTZ50, IND25	cumulative amount (change)	chloride	urine	colorimetric assay	amount_chloride_hctz50_ind25	8.0	hr	343.0	343.0	NA	172.0	NA	mmol	172
Williams1982	all	10.0	HCTZ50, IND25	cumulative amount (change)	chloride	urine	colorimetric assay	amount_chloride_hctz50_ind25	24.0	hr	88.0	431.0	NA	206.349218559218	NA	mmol	114
Williams1982	all	10.0	HCTZ50, IND25	cumulative amount (change)	potassium	urine	flame photometry	amount_potassium_hctz50_ind25	8.0	hr	7.0	7.0	NA	12.0	NA	mmol	12
Williams1982	all	10.0	HCTZ50, IND25	cumulative amount (change)	potassium	urine	flame photometry	amount_potassium_hctz50_ind25	24.0	hr	-8.0	-1.0	NA	15.6204993518133	NA	mmol	10
Williams1982	all	10.0	HCTZ100, IND25	urinary volume (change)	h2o	urine	NR	urinvolD_hctz100_ind25	8.0	hr	524.0	524.0	NA	587.0	NA	ml	587
Williams1982	all	10.0	HCTZ100, IND25	urinary volume (change)	h2o	urine	NR	urinvolD_hctz100_ind25	24.0	hr	202.0	726.0	NA	804.405992021442	NA	ml	550
Williams1982	all	10.0	HCTZ100, IND25	cumulative amount (change)	sodium	urine	flame photometry	amount_sodium_hctz100_ind25	8.0	hr	88.0	88.0	NA	35.0	NA	mmol	35
Williams1982	all	10.0	HCTZ100, IND25	cumulative amount (change)	sodium	urine	flame photometry	amount_sodium_hctz100_ind25	24.0	hr	74.0	162.0	NA	61.8546683767685	NA	mmol	51
Williams1982	all	10.0	HCTZ100, IND25	cumulative amount (change)	chloride	urine	colorimetric assay	amount_chloride_hctz100_ind25	8.0	hr	270.0	270.0	NA	107.0	NA	mmol	107
Williams1982	all	10.0	HCTZ100, IND25	cumulative amount (change)	chloride	urine	colorimetric assay	amount_chloride_hctz100_ind25	24.0	hr	225.0	495.0	NA	200.870605116826	NA	mmol	170
Williams1982	all	10.0	HCTZ100, IND25	cumulative amount (change)	potassium	urine	flame photometry	amount_potassium_hctz100_ind25	8.0	hr	6.0	6.0	NA	6.0	NA	mmol	6
Williams1982	all	10.0	HCTZ100, IND25	cumulative amount (change)	potassium	urine	flame photometry	amount_potassium_hctz100_ind25	24.0	hr	-1.0	5.0	NA	15.2315462117278	NA	mmol	14
Williams1982	all	10.0	IND25	urinary volume (change)	h2o	urine	NR	urinvolD_ind25	8.0	hr	-69.0	-69.0	NA	724.0	NA	ml	NA
Williams1982	all	10.0	IND25	urinary volume (change)	h2o	urine	NR	urinvolD_ind25	24.0	hr	261.0	192.0	NA	927.672355953329	NA	ml	580
Williams1982	all	10.0	IND25	cumulative amount (change)	sodium	urine	flame photometry	amount_sodium_ind25	8.0	hr	-6.3	-6.3	NA	22.0	NA	mmol	NA
Williams1982	all	10.0	IND25	cumulative amount (change)	sodium	urine	flame photometry	amount_sodium_ind25	24.0	hr	3.1	-3.2	NA	35.6089876295297	NA	mmol	28
Williams1982	all	10.0	IND25	cumulative amount (change)	chloride	urine	colorimetric assay	amount_chloride_ind25	8.0	hr	-21.0	-21.0	NA	67.0	NA	mmol	NA
