study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x_value	x	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y_value	y	y_unit	comments
Williams1982	NA	all	10.0	HCTZ50	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ50_urine	NA	5.43689320388349	mg/l	excretion rate	sodium	urine	flame photometry	sodium_rate_HCTZ50	NA	6.20689655172413	mmol/hr	NA
Williams1982	NA	all	10.0	HCTZ50	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ50_urine	NA	8.05825242718446	mg/l	excretion rate	sodium	urine	flame photometry	sodium_rate_HCTZ50	NA	16.0919540229885	mmol/hr	NA
Williams1982	NA	all	10.0	HCTZ50	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ50_urine	NA	10.9708737864077	mg/l	excretion rate	sodium	urine	flame photometry	sodium_rate_HCTZ50	NA	19.0804597701149	mmol/hr	NA
Williams1982	NA	all	10.0	HCTZ50	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ50_urine	NA	12.8155339805825	mg/l	excretion rate	sodium	urine	flame photometry	sodium_rate_HCTZ50	NA	17.8160919540229	mmol/hr	NA
Williams1982	NA	all	10.0	HCTZ50	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ50_urine	NA	17.6699029126213	mg/l	excretion rate	sodium	urine	flame photometry	sodium_rate_HCTZ50	NA	32.0689655172413	mmol/hr	NA
Williams1982	NA	all	10.0	HCTZ100	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ100_urine	NA	7.96116504854368	mg/l	excretion rate	sodium	urine	flame photometry	sodium_rate_HCTZ100	NA	7.35632183908045	mmol/hr	NA
Williams1982	NA	all	10.0	HCTZ100	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ100_urine	NA	10.6796116504854	mg/l	excretion rate	sodium	urine	flame photometry	sodium_rate_HCTZ100	NA	13.7931034482758	mmol/hr	NA
Williams1982	NA	all	10.0	HCTZ100	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ100_urine	NA	19.3203883495145	mg/l	excretion rate	sodium	urine	flame photometry	sodium_rate_HCTZ100	NA	18.8505747126436	mmol/hr	NA
Williams1982	NA	all	10.0	HCTZ100	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ100_urine	NA	26.6019417475728	mg/l	excretion rate	sodium	urine	flame photometry	sodium_rate_HCTZ100	NA	17.8160919540229	mmol/hr	NA
Williams1982	NA	all	10.0	HCTZ100	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ100_urine	NA	27.5728155339805	mg/l	excretion rate	sodium	urine	flame photometry	sodium_rate_HCTZ100	NA	24.1379310344827	mmol/hr	NA
Williams1982	NA	all	10.0	HCTZ100	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ100_urine	NA	33.5922330097087	mg/l	excretion rate	sodium	urine	flame photometry	sodium_rate_HCTZ100	NA	28.6206896551724	mmol/hr	NA
Williams1982	NA	all	10.0	HCTZ50	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ50_urine2	NA	5.19607843137254	mg/l	urinary volume rate	h2o	urine	NR	urine_volume_rate_HCTZ50	NA	92.1951219512195	ml/hr	NA
Williams1982	NA	all	10.0	HCTZ50	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ50_urine2	NA	8.33333333333333	mg/l	urinary volume rate	h2o	urine	NR	urine_volume_rate_HCTZ50	NA	145.040650406504	ml/hr	NA
Williams1982	NA	all	10.0	HCTZ50	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ50_urine2	NA	10.9803921568627	mg/l	urinary volume rate	h2o	urine	NR	urine_volume_rate_HCTZ50	NA	206.829268292682	ml/hr	NA
Williams1982	NA	all	10.0	HCTZ50	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ50_urine2	NA	14.0196078431372	mg/l	urinary volume rate	h2o	urine	NR	urine_volume_rate_HCTZ50	NA	145.040650406504	ml/hr	NA
Williams1982	NA	all	10.0	HCTZ50	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ50_urine2	NA	13.1372549019607	mg/l	urinary volume rate	h2o	urine	NR	urine_volume_rate_HCTZ50	NA	239.349593495934	ml/hr	NA
