study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x_value	x	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y_value	y	y_unit	comments
Williams1982	NA	all	10.0	HCTZ50	1.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz50	NA	2.09377269426288	mg/hr	urinary volume rate	h2o	urine	NR	diuresis_hctz50	NA	264.252825449979	ml/hr	0-2
Williams1982	NA	all	10.0	HCTZ50	3.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz50	NA	4.44489832970225	mg/hr	urinary volume rate	h2o	urine	NR	diuresis_hctz50	NA	240.680200920887	ml/hr	2-4
Williams1982	NA	all	10.0	HCTZ50	5.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz50	NA	2.91984386347131	mg/hr	urinary volume rate	h2o	urine	NR	diuresis_hctz50	NA	145.232314776056	ml/hr	4-6
Williams1982	NA	all	10.0	HCTZ50	7.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz50	NA	2.10965867828612	mg/hr	urinary volume rate	h2o	urine	NR	diuresis_hctz50	NA	210.510673922143	ml/hr	6-8
Williams1982	NA	all	10.0	HCTZ50	10.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz50	NA	0.870551924473492	mg/hr	urinary volume rate	h2o	urine	NR	diuresis_hctz50	NA	145.726245290916	ml/hr	8-12
Williams1982	NA	all	10.0	HCTZ50	18.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz50	NA	0.425744371822801	mg/hr	urinary volume rate	h2o	urine	NR	diuresis_hctz50	NA	94.3365424863959	ml/hr	12-24
Williams1982	NA	all	10.0	HCTZ100	1.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz100	NA	4.93736383442265	mg/hr	urinary volume rate	h2o	urine	NR	diuresis_hctz100	NA	169.997907074089	ml/hr	0-2
Williams1982	NA	all	10.0	HCTZ100	3.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz100	NA	6.76425199709513	mg/hr	urinary volume rate	h2o	urine	NR	diuresis_hctz100	NA	211.393888656341	ml/hr	2-4
Williams1982	NA	all	10.0	HCTZ100	5.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz100	NA	4.55610021786492	mg/hr	urinary volume rate	h2o	urine	NR	diuresis_hctz100	NA	187.266638760987	ml/hr	4-6
Williams1982	NA	all	10.0	HCTZ100	7.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz100	NA	2.96750181554103	mg/hr	urinary volume rate	h2o	urine	NR	diuresis_hctz100	NA	163.164503976559	ml/hr	6-8
Williams1982	NA	all	10.0	HCTZ100	10.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz100	NA	1.36301742919389	mg/hr	urinary volume rate	h2o	urine	NR	diuresis_hctz100	NA	135.242779405609	ml/hr	8-12
Williams1982	NA	all	10.0	HCTZ100	18.0	hr	excretion rate	hydrochlorothiazide	urine	HPLC	excretion_hctz100	NA	0.711692084241102	mg/hr	urinary volume rate	h2o	urine	NR	diuresis_hctz100	NA	99.8827961490163	ml/hr	12-24
