study	individual	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x_value	x	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y_value	y	y_unit	comments
Williams1982	NA	all	10.0	HCTZ50	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ50_urine2	NA	5.19607843137254	mg/l	urinary volume rate	h2o	urine	NR	diuresis_HCTZ50	NA	92.1951219512195	ml/hr	NA
Williams1982	NA	all	10.0	HCTZ50	1.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ50_urine2	NA	8.33333333333333	mg/l	urinary volume rate	h2o	urine	NR	diuresis_HCTZ50	NA	145.040650406504	ml/hr	NA
Williams1982	NA	all	10.0	HCTZ50	2.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ50_urine2	NA	10.9803921568627	mg/l	urinary volume rate	h2o	urine	NR	diuresis_HCTZ50	NA	206.829268292682	ml/hr	NA
Williams1982	NA	all	10.0	HCTZ50	3.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ50_urine2	NA	14.0196078431372	mg/l	urinary volume rate	h2o	urine	NR	diuresis_HCTZ50	NA	145.040650406504	ml/hr	NA
Williams1982	NA	all	10.0	HCTZ50	4.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ50_urine2	NA	13.1372549019607	mg/l	urinary volume rate	h2o	urine	NR	diuresis_HCTZ50	NA	239.349593495934	ml/hr	NA
Williams1982	NA	all	10.0	HCTZ50	5.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ50_urine2	NA	17.6470588235294	mg/l	urinary volume rate	h2o	urine	NR	diuresis_HCTZ50	NA	265.365853658536	ml/hr	NA
Williams1982	NA	all	10.0	HCTZ100	0.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ100_urine2	NA	8.33333333333333	mg/l	urinary volume rate	h2o	urine	NR	diuresis_HCTZ100	NA	97.0731707317073	ml/hr	NA
Williams1982	NA	all	10.0	HCTZ100	1.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ100_urine2	NA	11.1764705882352	mg/l	urinary volume rate	h2o	urine	NR	diuresis_HCTZ100	NA	132.032520325203	ml/hr	NA
Williams1982	NA	all	10.0	HCTZ100	2.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ100_urine2	NA	19.5098039215686	mg/l	urinary volume rate	h2o	urine	NR	diuresis_HCTZ100	NA	160.487804878048	ml/hr	NA
Williams1982	NA	all	10.0	HCTZ100	3.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ100_urine2	NA	27.0588235294117	mg/l	urinary volume rate	h2o	urine	NR	diuresis_HCTZ100	NA	186.50406504065	ml/hr	NA
Williams1982	NA	all	10.0	HCTZ100	4.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ100_urine2	NA	27.7450980392156	mg/l	urinary volume rate	h2o	urine	NR	diuresis_HCTZ100	NA	166.178861788617	ml/hr	NA
Williams1982	NA	all	10.0	HCTZ100	5.0	hr	concentration	hydrochlorothiazide	urine	HPLC	hctz_HCTZ100_urine2	NA	33.8235294117647	mg/l	urinary volume rate	h2o	urine	NR	diuresis_HCTZ100	NA	206.016260162601	ml/hr	NA
