study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	median	mean_pm	cv	mean_sd	mean_se	min	max	comments	mean_unit	value_unit	median_unit
Jeon2012		HCTZ_mono	13.0	HCTZ25,FIMA240	cumulative amount	hydrochlorothiazide	urine	LC MS/MS	amount_cumulative_hctz25_kombi	0.0	hr		0.0								added by curator for timecourse simulation	mole	mg	mg
Jeon2012		HCTZ_mono	13.0	HCTZ25,FIMA240	cumulative amount	hydrochlorothiazide	urine	LC MS/MS	amount_cumulative_hctz25_kombi	24.0	hr		5.945582801477998e-05			15.1						mole	mg	mg
