study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	tstart	tend	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Jeon2012		HCTZ_mono	13.0	HCTZ25	urinary volume			NR	urine_vol_hctz25	0.0	2.0	2.0	hr		197.955010224949		100.20449897750498	27.791727622736392	errors bars only approximates	ml	ml
Jeon2012		HCTZ_mono	13.0	HCTZ25	urinary volume			NR	urine_vol_hctz25	2.0	4.0	4.0	hr		359.100204498978		71.574642126789	19.851234016240205	errors bars only approximates	ml	ml
Jeon2012		HCTZ_mono	13.0	HCTZ25	urinary volume			NR	urine_vol_hctz25	4.0	6.0	6.0	hr		561.145194274029		124.744376278119	34.59786499973322	errors bars only approximates	ml	ml
Jeon2012		HCTZ_mono	13.0	HCTZ25	urinary volume			NR	urine_vol_hctz25	6.0	12.0	12.0	hr		1129.243353783231		271.9836400818	75.43468926171327	errors bars only approximates	ml	ml
Jeon2012		HCTZ_mono	13.0	HCTZ25	urinary volume			NR	urine_vol_hctz25	12.0	24.0	24.0	hr		1468.302658486707		331.288343558283	91.88285458945536	errors bars only approximates	ml	ml
