study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	tstart	tend	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Jeon2012		HCTZ_mono	13.0	HCTZ25,FIMA240	urinary volume			NR	urine_vol_hctz25_kombi	0.0	2.0	2.0	hr		291.436464088397		148.48066298342502	41.18112644627899	errors bars only approximates	ml	ml
Jeon2012		HCTZ_mono	13.0	HCTZ25,FIMA240	urinary volume			NR	urine_vol_hctz25_kombi	2.0	4.0	4.0	hr		566.9889502762419		122.92817679558004	34.094141895058954	errors bars only approximates	ml	ml
Jeon2012		HCTZ_mono	13.0	HCTZ25,FIMA240	urinary volume			NR	urine_vol_hctz25_kombi	4.0	6.0	6.0	hr		717.5414364640869		86.32596685082899	23.94251537574373	errors bars only approximates	ml	ml
Jeon2012		HCTZ_mono	13.0	HCTZ25,FIMA240	urinary volume			NR	urine_vol_hctz25_kombi	6.0	12.0	12.0	hr		1489.640883977899		378.453038674028	104.96398740725878	errors bars only approximates	ml	ml
Jeon2012		HCTZ_mono	13.0	HCTZ25,FIMA240	urinary volume			NR	urine_vol_hctz25_kombi	12.0	24.0	24.0	hr		2121.5469613259647		388.812154696124	107.83708925234708	errors bars only approximates	ml	ml
