study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	median	mean_pm	cv	mean_sd	mean_se	min	max	comments	mean_unit	value_unit	median_unit
Jeon2012		HCTZ_mono	13.0	HCTZ25,FIMA240	recovery	hydrochlorothiazide	urine	LC MS/MS	recovery_hctz25_kombi	0.0	hr		0.0								added by curator for timecourse simulation	percent	percent	percent
Jeon2012		HCTZ_mono	13.0	HCTZ25,FIMA240	recovery	hydrochlorothiazide	urine	LC MS/MS	recovery_hctz25_kombi	24.0	hr		70.9			15.1						percent	percent	percent
