study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	median	mean	mean_pm	min	max	cv	mean_sd	mean_se	comments	mean_unit	median_unit
Heise2015		all	11.0	HCTZ25	cumulative amount	hydrochlorothiazide	urine	LC MS/MS	hctz25_aurine	0.0	hr		0.0								mole	mg
Heise2015		all	11.0	HCTZ25	cumulative amount	hydrochlorothiazide	urine	LC MS/MS	hctz25_aurine	24.0	hr		6.0463553913335576e-05				20.5	1.2395028552233793e-05			mole	mg
