study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	median	mean	mean_pm	min	max	cv	mean_sd	mean_se	comments	mean_unit	median_unit
Heise2015		all	10.0	HCTZ25,EMP25	cumulative amount	hydrochlorothiazide	urine	LC MS/MS	hctz25,emp25_aurine	0.0	hr		0.0								mole	mg
Heise2015		all	10.0	HCTZ25,EMP25	cumulative amount	hydrochlorothiazide	urine	LC MS/MS	hctz25,emp25_aurine	24.0	hr		5.6768558951965065e-05				27.2	1.54410480349345e-05			mole	mg
