,author,keywords,pmc,pmid,prob,pubdate,title
212,G Wuerzner; M Azizi,,,18307734,0.6056293845176697,2008,Renin inhibition with aliskiren.
213,R Koytchev; Y Ozalp; A Erenmemisoglu; MJ van der Meer; RS Alpan,,,15497669,0.5993989706039429,2004,Combination of losartan and hydrochlorothiazide: in vivo bioequivalence.
214,NM Davies; MS Watson,,,9195115,0.5975639224052429,1997,Clinical pharmacokinetics of sulindac. A dynamic old drug.
215,B Beermann; M Groschinsky-Grind,,,658108,0.586651623249054,1978,Gastrointestinal absorption of hydrochlorothiazide enhanced by concomitant intake of food.
216,KR Lees,,,2283658,0.5842859148979187,1990,Clinical pharmacology of perindopril.
217,A Vonaparti; M Kazanis; I Panderi,,,16541390,0.5802492499351501,2006,"Development and validation of a liquid chromatographic/electrospray ionization mass spectrometric method for the determination of benazepril, benazeprilat and hydrochlorothiazide in human plasma."
218,IA Wasfi; NA Al Katheeri,,,21906084,0.5670824646949768,2011,The pharmacokinetics of hydrochlorothiazide in the camel.
219,M Cánovas; F Cabré; F Polonio,,,24105103,0.5627703666687012,2014,Bioequivalence studies for 2 different strengths of irbesartan/hydrochlorothiazide combination in healthy volunteers: 300/25 mg and 300/12.5 mg film-coated tablets.
220,RN Brogden; EM Sorkin,,,2079001,0.5598676800727844,1990,"Ketanserin. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic potential in hypertension and peripheral vascular disease."
221,MD Klein; DA Weiner,,,3552310,0.5544684529304504,1987,Treatment of angina pectoris and hypertension with sustained-release calcium channel-blocking drugs.
222,MC Meyer; AP Melikian; PL Whyatt; GW Slywka,,,808380,0.5533394813537598,1975,Hydrochlorothiazide bioavailability: an evaluation of thirteen products.
223,BN Prichard,,,8068579,0.5519651770591736,1994,Clinical experience with moxonidine.
224,KA Kirchner; S Brandon; RA Mueller; MJ Smith; JD Bower,,,3599650,0.5509320497512817,1987,Mechanism of attenuated hydrochlorothiazide response during indomethacin administration.
225,DA Cox; JP Leader; JA Milson; W Singleton,,,2939872,0.5421134233474731,1986,The antihypertensive effects of doxazosin: a clinical overview.
226,SP Clissold; RN Brogden,,,3891305,0.5418206453323364,1985,"Piretanide. A preliminary review of its pharmacodynamic and pharmacokinetic properties, and therapeutic efficacy."
227,AG Jangid; RH Tale; VV Vaidya,,,21491473,0.5378751158714294,2012,"A single, selective and simple validated method for simultaneous estimation of amiloride and hydrochlorothiazide in human plasma by liquid chromatography-tandem mass spectrometry."
228,RV Nirogi; VN Kandikere; M Shukla; K Mudigonda; DR Ajjala,,,17110179,0.5241897702217102,2007,A simple and rapid HPLC/UV method for the simultaneous quantification of theophylline and etofylline in human plasma.
229,K Hao; Y Chen; X Zhao; X Liu,biopharmaceutics and drug disposition; pharmacokinetics and drug disposition,,24628252,0.5223041772842407,2014,Pharmacokinetic-pharmacodynamic model of the antihypertensive interaction between telmisartan and hydrochlorothiazide in spontaneously hypertensive rats.
230,SM Moinuddin; S Ruan; Y Huang; Q Gao; Q Shi; B Cai; T Cai,Atenolol; Co-amorphous; Cryogenic milling; Hydrochlorothiazide; Intrinsic dissolution rate; Pharmacokinetics; Physical stability,,28893583,0.5218008160591125,2017,"Facile formation of co-amorphous atenolol and hydrochlorothiazide mixtures via cryogenic-milling: Enhanced physical stability, dissolution and pharmacokinetic profile."
231,M Sharoky; M Perkal; B Tabatznik; RC Cane; K Costello; P Goodwin,,,2752698,0.5101402997970581,1989,Comparative efficacy and bioequivalence of a brand-name and a generic triamterene-hydrochlorothiazide combination product.
232,AV Murray; W Koenig; J Garcia-Puig; S Patel; A Uddin; J Zhang,,,23205748,0.500156819820404,2012,"Safety and efficacy of aliskiren/amlodipine/hydrochlorothiazide triple combination in patients with moderate to severe hypertension: a 54-week, open-label study."
