study	individual	group	count	intervention	label	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x_value	x	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y_value	y	sd	y_unit	comments
Beermann1977a	NA	all	8.0	Placebo	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	0.0	mg	urinary volume	h2o	urine	NR	NA	NA	1208.0	284.0	ml	NA
Beermann1977a	NA	all	8.0	HCTZ12_5	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	12.5	mg	urinary volume	h2o	urine	NR	NA	NA	2009.0	320.0	ml	NA
Beermann1977a	NA	all	8.0	HCTZ25	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	25.0	mg	urinary volume	h2o	urine	NR	NA	NA	2005.0	379.0	ml	NA
Beermann1977a	NA	all	8.0	HCTZ50	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	50.0	mg	urinary volume	h2o	urine	NR	NA	NA	1962.0	391.0	ml	NA
Beermann1977a	NA	all	8.0	HCTZ75	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	75.0	mg	urinary volume	h2o	urine	NR	NA	NA	2040.0	440.0	ml	NA
Beermann1977a	NA	all	8.0	Placebo	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	0.0	mg	cumulative amount	sodium	urine	flame photometry	NA	NA	36.9	14.0	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ12_5	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	12.5	mg	cumulative amount	sodium	urine	flame photometry	NA	NA	136.7	22.9	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ25	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	25.0	mg	cumulative amount	sodium	urine	flame photometry	NA	NA	144.6	41.4	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ50	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	50.0	mg	cumulative amount	sodium	urine	flame photometry	NA	NA	160.1	18.5	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ75	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	75.0	mg	cumulative amount	sodium	urine	flame photometry	NA	NA	157.4	50.0	mmol	NA
Beermann1977a	NA	all	8.0	Placebo	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	0.0	mg	cumulative amount	potassium	urine	flame photometry	NA	NA	29.5	7.7	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ12_5	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	12.5	mg	cumulative amount	potassium	urine	flame photometry	NA	NA	35.6	14.9	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ25	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	25.0	mg	cumulative amount	potassium	urine	flame photometry	NA	NA	46.7	15.1	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ50	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	50.0	mg	cumulative amount	potassium	urine	flame photometry	NA	NA	50.8	13.7	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ75	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	75.0	mg	cumulative amount	potassium	urine	flame photometry	NA	NA	55.7	16.4	mmol	NA
Beermann1977a	NA	all	8.0	Placebo	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	0.0	mg	cumulative amount	calcium	urine	flame photometry	NA	NA	1.19	0.26	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ12_5	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	12.5	mg	cumulative amount	calcium	urine	flame photometry	NA	NA	1.31	0.55	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ25	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	25.0	mg	cumulative amount	calcium	urine	flame photometry	NA	NA	1.48	0.61	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ50	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	50.0	mg	cumulative amount	calcium	urine	flame photometry	NA	NA	1.75	0.73	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ75	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	75.0	mg	cumulative amount	calcium	urine	flame photometry	NA	NA	1.42	0.62	mmol	NA
Beermann1977a	NA	all	8.0	Placebo	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	0.0	mg	cumulative amount	magnesium	urine	flame photometry	NA	NA	1.51	0.62	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ12_5	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	12.5	mg	cumulative amount	magnesium	urine	flame photometry	NA	NA	1.93	0.62	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ25	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	25.0	mg	cumulative amount	magnesium	urine	flame photometry	NA	NA	2.05	0.92	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ50	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	50.0	mg	cumulative amount	magnesium	urine	flame photometry	NA	NA	1.98	0.63	mmol	NA
Beermann1977a	NA	all	8.0	HCTZ75	NA	10.0	hr	dosing	hydrochlorothiazide	NA	NR	NA	NA	75.0	mg	cumulative amount	magnesium	urine	flame photometry	NA	NA	1.68	0.72	mmol	NA
