study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	meanraw	comments	mean_unit	value_unit
Patel1984		all	12.0	HCTZ50_sus	cumulative amount	potassium	urine	potentiometry	increase_Kurine_HCTZ50_sus	12.0	hr		62.7		19.3	5.57143009767989	20.7		mmol	mmol
Patel1984		all	12.0	HCTZ50_sus	cumulative amount	potassium	urine	potentiometry	increase_Kurine_HCTZ50_sus	0.0	hr		0.0				0.0		mmol	mmol
