study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	meanraw	comments	mean_unit	value_unit
Patel1984		all	12.0	HCTZ50_tab	cumulative amount	chloride	urine	potentiometry	increase_Clurine_HCTZ50_tab	12.0	hr		372.0		66.0	19.0525588832577	132.0		mmol	mmol
Patel1984		all	12.0	HCTZ50_tab	cumulative amount	chloride	urine	potentiometry	increase_Clurine_HCTZ50_tab	0.0	hr		0.0				0.0		mmol	mmol
