study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	meanraw	comments	mean_unit	value_unit
Patel1984		all	12.0	HCTZ100_sus	cumulative amount	sodium	urine	potentiometry	increase_Naurine_HCTZ100_sus	12.0	hr		224.0		95.0	27.4241377865072	140.0		mmol	mmol
Patel1984		all	12.0	HCTZ100_sus	cumulative amount	sodium	urine	potentiometry	increase_Naurine_HCTZ100_sus	0.0	hr		0.0				0.0		mmol	mmol
