study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	meanraw	comments	mean_unit	value_unit
Patel1984		all	12.0	HCTZ100_tab	cumulative amount	sodium	urine	potentiometry	increase_Naurine_HCTZ100_tab	12.0	hr		193.0		76.0	21.9393102292058	109.0		mmol	mmol
Patel1984		all	12.0	HCTZ100_tab	cumulative amount	sodium	urine	potentiometry	increase_Naurine_HCTZ100_tab	0.0	hr		0.0				0.0		mmol	mmol
