study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	meanraw	comments	mean_unit	value_unit
Patel1984		all	12.0	HCTZ25_tab	cumulative amount	potassium	urine	potentiometry	increase_Kurine_HCTZ25_tab	12.0	hr		62.2		17.9	5.16728490924715	20.2		mmol	mmol
Patel1984		all	12.0	HCTZ25_tab	cumulative amount	potassium	urine	potentiometry	increase_Kurine_HCTZ25_tab	0.0	hr		0.0				0.0		mmol	mmol
