study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	meanraw	comments	mean_unit	value_unit
Patel1984		all	12.0	HCTZ25_sus	cumulative amount	potassium	urine	potentiometry	increase_Kurine_HCTZ25_sus	12.0	hr		57.3		21.3	6.14878036686952	15.3		mmol	mmol
Patel1984		all	12.0	HCTZ25_sus	cumulative amount	potassium	urine	potentiometry	increase_Kurine_HCTZ25_sus	0.0	hr		0.0				0.0		mmol	mmol
