study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	meanraw	comments	mean_unit	value_unit
Patel1984		all	12.0	HCTZ50_tab	cumulative amount	sodium	urine	potentiometry	increase_Naurine_HCTZ50_tab	12.0	hr		177.0		62.0	17.8978583448784	93.0		mmol	mmol
Patel1984		all	12.0	HCTZ50_tab	cumulative amount	sodium	urine	potentiometry	increase_Naurine_HCTZ50_tab	0.0	hr		0.0				0.0		mmol	mmol
