study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	meanraw	comments	mean_unit	value_unit
Patel1984		all	12.0	HCTZ100_tab	cumulative amount	chloride	urine	potentiometry	increase_Clurine_HCTZ100_tab	12.0	hr		382.0		85.0	24.5373864405591	142.0		mmol	mmol
Patel1984		all	12.0	HCTZ100_tab	cumulative amount	chloride	urine	potentiometry	increase_Clurine_HCTZ100_tab	0.0	hr		0.0				0.0		mmol	mmol
