study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	meanraw	comments	mean_unit	value_unit
Patel1984		all	12.0	HCTZ25_sus	cumulative amount	chloride	urine	potentiometry	increase_Clurine_HCTZ25_sus	12.0	hr		377.0		61.0	17.6091832102836	137.0		mmol	mmol
Patel1984		all	12.0	HCTZ25_sus	cumulative amount	chloride	urine	potentiometry	increase_Clurine_HCTZ25_sus	0.0	hr		0.0				0.0		mmol	mmol
