study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	meanraw	comments	mean_unit	value_unit
Patel1984		all	12.0	HCTZ100_sus	cumulative amount	chloride	urine	potentiometry	increase_Clurine_HCTZ100_sus	12.0	hr		416.0		106.0	30.5995642670502	176.0		mmol	mmol
Patel1984		all	12.0	HCTZ100_sus	cumulative amount	chloride	urine	potentiometry	increase_Clurine_HCTZ100_sus	0.0	hr		0.0				0.0		mmol	mmol
