study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	meanraw	comments	mean_unit	value_unit
Patel1984		all	12.0	HCTZ25_tab	cumulative amount	sodium	urine	potentiometry	increase_Naurine_HCTZ25_tab	12.0	hr		186.0		64.0	18.475208614068	102.0	net increase to baseline; adding baseline values from Williams1982 (~7mmol/hr Na and 20 mmol/hr Cl, 3.5 mmol/hr Po)	mmol	mmol
Patel1984		all	12.0	HCTZ25_tab	cumulative amount	sodium	urine	potentiometry	increase_Naurine_HCTZ25_tab	0.0	hr		0.0				0.0		mmol	mmol
